<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ABRD;D;151207;000000;95.5000000;200
ABRD;D;151208;000000;99.0000000;400
ABRD;D;151210;000000;93.0000000;1100
ABRD;D;151215;000000;93.0000000;100
ABRD;D;151218;000000;93.0000000;300
ABRD;D;151223;000000;98.0000000;100
ABRD;D;151224;000000;91.0000000;600
ABRD;D;151228;000000;93.5000000;200
ABRD;D;151229;000000;95.5000000;100
ABRD;D;151230;000000;99.5000000;100
ABRD;D;160104;000000;90.5000000;200
ABRD;D;160106;000000;87.5000000;1000
ABRD;D;160111;000000;87.5000000;1100
ABRD;D;160112;000000;87.0000000;1400
ABRD;D;160113;000000;89.5000000;100
ABRD;D;160115;000000;85.0000000;600
ABRD;D;160118;000000;90.0000000;100
ABRD;D;160119;000000;91.0000000;900
ABRD;D;160120;000000;101.0000000;2300
ABRD;D;160121;000000;96.0000000;500
ABRD;D;160122;000000;95.0000000;100
ABRD;D;160126;000000;96.5000000;3400
ABRD;D;160127;000000;97.0000000;800
ABRD;D;160128;000000;101.0000000;1900
ABRD;D;160129;000000;113.0000000;5600
ABRD;D;160201;000000;106.5000000;2100
ABRD;D;160202;000000;116.0000000;1200
ABRD;D;160203;000000;120.0000000;900
ABRD;D;160204;000000;108.0000000;300
ABRD;D;160208;000000;103.0000000;500
ABRD;D;160209;000000;100.5000000;100
ABRD;D;160211;000000;109.0000000;100
ABRD;D;160220;000000;118.0000000;500
ABRD;D;160224;000000;109.0000000;300
ABRD;D;160225;000000;108.0000000;600
ABRD;D;160226;000000;103.0000000;1500
ABRD;D;160229;000000;102.0000000;1300
ABRD;D;160301;000000;101.0000000;2400
ABRD;D;160302;000000;109.5000000;600
ABRD;D;160303;000000;105.5000000;800
ABRD;D;160304;000000;105.0000000;400
ABRD;D;160310;000000;105.5000000;1200
ABRD;D;160311;000000;112.0000000;1800
ABRD;D;160314;000000;110.0000000;1000
ABRD;D;160316;000000;110.0000000;3700
ABRD;D;160317;000000;102.5000000;100
ABRD;D;160318;000000;103.0000000;5200
ABRD;D;160321;000000;91.5000000;6900
ABRD;D;160322;000000;92.5000000;10500
ABRD;D;160323;000000;93.0000000;2000
ABRD;D;160324;000000;90.5000000;2600
ABRD;D;160325;000000;85.0000000;19900
ABRD;D;160328;000000;89.5000000;13300
ABRD;D;160329;000000;84.5000000;12600
ABRD;D;160330;000000;82.0000000;28300
ABRD;D;160331;000000;84.0000000;8600
ABRD;D;160401;000000;85.0000000;8200
ABRD;D;160404;000000;86.0000000;1200
ABRD;D;160405;000000;88.5000000;7700
ABRD;D;160406;000000;86.0000000;900
ABRD;D;160407;000000;89.0000000;1100
ABRD;D;160408;000000;88.0000000;1400
ABRD;D;160411;000000;86.5000000;2000
ABRD;D;160412;000000;86.5000000;1000
ABRD;D;160413;000000;85.5000000;1700
ABRD;D;160414;000000;88.0000000;1300
ABRD;D;160415;000000;86.0000000;1800
ABRD;D;160418;000000;85.5000000;3600
ABRD;D;160419;000000;86.0000000;3400
ABRD;D;160420;000000;87.0000000;1900
ABRD;D;160421;000000;86.5000000;4700
ABRD;D;160422;000000;86.5000000;7500
ABRD;D;160425;000000;86.0000000;1800
ABRD;D;160426;000000;86.0000000;10100
ABRD;D;160427;000000;83.0000000;12300
