<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
EELT;D;170907;000000;10.2000000;490500
EELT;D;170908;000000;9.8850000;535800
EELT;D;170911;000000;10.3290000;457200
EELT;D;170912;000000;10.5000000;136000
EELT;D;170913;000000;10.4990000;523500
EELT;D;170914;000000;10.5260000;189500
EELT;D;170915;000000;10.4470000;371600
EELT;D;170918;000000;10.2400000;246700
EELT;D;170919;000000;10.4750000;304800
EELT;D;170920;000000;10.2080000;226000
EELT;D;170921;000000;10.2910000;190500
EELT;D;170922;000000;10.7500000;221600
EELT;D;170925;000000;10.5700000;488500
EELT;D;170926;000000;10.7950000;533900
EELT;D;170927;000000;10.8860000;498500
EELT;D;170928;000000;10.9200000;481900
EELT;D;170929;000000;11.0170000;468700
EELT;D;171002;000000;11.0120000;397200
EELT;D;171003;000000;10.9990000;255400
EELT;D;171004;000000;11.2180000;558500
EELT;D;171005;000000;11.0500000;458000
EELT;D;171006;000000;11.0990000;464100
EELT;D;171009;000000;11.2890000;484400
EELT;D;171010;000000;11.4180000;643500
EELT;D;171011;000000;11.5050000;651300
EELT;D;171012;000000;11.5910000;644100
EELT;D;171013;000000;11.9000000;799500
EELT;D;171016;000000;11.5000000;791800
EELT;D;171017;000000;11.4820000;323700
EELT;D;171018;000000;11.4190000;780300
EELT;D;171019;000000;11.4490000;1662000
EELT;D;171020;000000;11.4720000;365400
EELT;D;171023;000000;11.4880000;646800
EELT;D;171024;000000;11.9910000;697100
EELT;D;171025;000000;11.9850000;413800
EELT;D;171026;000000;12.0500000;289800
EELT;D;171027;000000;11.8850000;470900
EELT;D;171030;000000;11.9490000;527200
EELT;D;171031;000000;11.9400000;469100
EELT;D;171101;000000;11.9600000;573100
EELT;D;171102;000000;11.9900000;404200
EELT;D;171103;000000;12.0000000;439600
EELT;D;171107;000000;12.0500000;416400
EELT;D;171108;000000;11.9100000;974200
EELT;D;171109;000000;11.8400000;509000
EELT;D;171110;000000;11.9600000;1392000
EELT;D;171113;000000;11.8800000;463700
EELT;D;171114;000000;11.8000000;509500
EELT;D;171115;000000;11.8200000;553500
EELT;D;171116;000000;11.9500000;731200
EELT;D;171117;000000;11.6500000;1082200
EELT;D;171120;000000;11.7200000;634200
EELT;D;171121;000000;11.9400000;826200
EELT;D;171122;000000;11.8700000;417400
EELT;D;171123;000000;11.9400000;512000
EELT;D;171124;000000;11.8300000;1393700
EELT;D;171127;000000;12.3000000;1206500
EELT;D;171128;000000;12.9300000;3794600
EELT;D;171129;000000;12.8400000;978800
EELT;D;171130;000000;12.8500000;766300
EELT;D;171201;000000;12.7400000;725200
EELT;D;171204;000000;12.6100000;898000
EELT;D;171205;000000;12.6700000;620800
EELT;D;171206;000000;12.4900000;799400
EELT;D;171207;000000;12.5900000;595900
EELT;D;171208;000000;12.5000000;1122800
EELT;D;171211;000000;12.5200000;890600
EELT;D;171212;000000;12.8500000;628400
EELT;D;171213;000000;12.6500000;853200
EELT;D;171214;000000;12.7600000;828400
EELT;D;171215;000000;12.9900000;1023200
EELT;D;171218;000000;12.8500000;846900
EELT;D;171219;000000;12.8700000;685000
EELT;D;171220;000000;12.9400000;668700
EELT;D;171221;000000;12.7600000;536800
EELT;D;171222;000000;12.7100000;620200
EELT;D;171225;000000;12.6200000;440200
EELT;D;171226;000000;12.4800000;1126300
EELT;D;171227;000000;12.5800000;408200
EELT;D;171228;000000;12.8500000;979600
EELT;D;171229;000000;12.7400000;411900
EELT;D;180103;000000;12.8100000;133500
EELT;D;180104;000000;12.8700000;153100
EELT;D;180105;000000;12.8500000;187300
EELT;D;180109;000000;12.8900000;250900
EELT;D;180110;000000;12.8800000;274800
EELT;D;180111;000000;12.8800000;203500
EELT;D;180112;000000;12.8400000;257900
EELT;D;180115;000000;13.0100000;570000
EELT;D;180116;000000;12.9200000;815500
EELT;D;180117;000000;12.8700000;836400
EELT;D;180118;000000;12.8800000;528200
EELT;D;180119;000000;12.8000000;411100
EELT;D;180122;000000;13.1500000;871700
EELT;D;180123;000000;13.1500000;412700
EELT;D;180124;000000;13.1500000;1419900
EELT;D;180125;000000;13.1200000;963200
EELT;D;180126;000000;13.2000000;1015000
EELT;D;180129;000000;13.0000000;1592300
EELT;D;180130;000000;13.3000000;1513000
EELT;D;180131;000000;13.0500000;754000
EELT;D;180201;000000;12.9000000;658300
EELT;D;180202;000000;12.7800000;499400
EELT;D;180205;000000;13.2400000;775000
