<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
FIXP;D;210310;000000;716.9000000;2614386
FIXP;D;210311;000000;717.0000000;1276634
FIXP;D;210312;000000;715.5000000;461045
FIXP;D;210315;000000;704.9000000;955546
FIXP;D;210316;000000;697.9000000;612002
FIXP;D;210317;000000;709.2000000;1268365
FIXP;D;210318;000000;716.0000000;123364
FIXP;D;210319;000000;716.3000000;96556
FIXP;D;210322;000000;718.0000000;133525
FIXP;D;210323;000000;728.0000000;595829
FIXP;D;210324;000000;732.5000000;514427
FIXP;D;210325;000000;739.9000000;351101
FIXP;D;210326;000000;738.7000000;175609
FIXP;D;210329;000000;739.0000000;134097
FIXP;D;210330;000000;741.4000000;258861
FIXP;D;210331;000000;737.0000000;79947
FIXP;D;210401;000000;743.0000000;176398
FIXP;D;210402;000000;738.9000000;33737
FIXP;D;210405;000000;724.3000000;70263
FIXP;D;210406;000000;713.0000000;128240
FIXP;D;210407;000000;704.4000000;112088
FIXP;D;210408;000000;716.8000000;93415
FIXP;D;210409;000000;720.0000000;58897
FIXP;D;210412;000000;735.3000000;187464
FIXP;D;210413;000000;731.1000000;128536
FIXP;D;210414;000000;725.0000000;101958
FIXP;D;210415;000000;730.9000000;158744
FIXP;D;210416;000000;727.9000000;242508
FIXP;D;210419;000000;732.6000000;140263
FIXP;D;210420;000000;738.0000000;161675
FIXP;D;210421;000000;733.0000000;157278
FIXP;D;210422;000000;730.0000000;138426
FIXP;D;210423;000000;717.0000000;140001
FIXP;D;210426;000000;713.8000000;121546
FIXP;D;210427;000000;710.3000000;254797
FIXP;D;210428;000000;706.0000000;264292
FIXP;D;210429;000000;707.9000000;353207
FIXP;D;210430;000000;704.1000000;275636
FIXP;D;210504;000000;703.0000000;445894
FIXP;D;210505;000000;702.9000000;282564
FIXP;D;210506;000000;698.2000000;664420
FIXP;D;210507;000000;691.4000000;380018
FIXP;D;210510;000000;708.4000000;71804
FIXP;D;210511;000000;699.2000000;61627
FIXP;D;210512;000000;699.3000000;95797
FIXP;D;210513;000000;679.2000000;701317
FIXP;D;210514;000000;685.9000000;66773
FIXP;D;210517;000000;675.0000000;252814
FIXP;D;210518;000000;682.0000000;46166
FIXP;D;210519;000000;684.6000000;180547
FIXP;D;210520;000000;662.4000000;93674
FIXP;D;210521;000000;663.7000000;126358
FIXP;D;210524;000000;664.4000000;56462
FIXP;D;210525;000000;653.2000000;88616
FIXP;D;210526;000000;640.0000000;122995
FIXP;D;210527;000000;612.0000000;137465
FIXP;D;210528;000000;598.0000000;195507
FIXP;D;210531;000000;622.7000000;156986
FIXP;D;210601;000000;623.5000000;114543
FIXP;D;210602;000000;629.5000000;43955
FIXP;D;210603;000000;642.5000000;192226
FIXP;D;210604;000000;628.6000000;135789
FIXP;D;210607;000000;625.0000000;66795
FIXP;D;210608;000000;613.9000000;51190
FIXP;D;210609;000000;619.0000000;121545
FIXP;D;210610;000000;618.2000000;50770
FIXP;D;210611;000000;616.0000000;57982
FIXP;D;210614;000000;613.1000000;39550
FIXP;D;210615;000000;612.7000000;53737
FIXP;D;210616;000000;610.7000000;70303
FIXP;D;210617;000000;664.2000000;199758
FIXP;D;210618;000000;659.0000000;185191
FIXP;D;210621;000000;667.3000000;126546
FIXP;D;210622;000000;668.8000000;63027
FIXP;D;210623;000000;675.1000000;125624
FIXP;D;210624;000000;671.4000000;115557
