<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
HNFG;D;231102;000000;670.0000000;2634803
HNFG;D;231103;000000;669.0000000;601792
HNFG;D;231106;000000;650.0000000;235278
HNFG;D;231107;000000;659.5000000;196325
HNFG;D;231108;000000;636.0000000;163301
HNFG;D;231109;000000;619.9000000;205676
HNFG;D;231110;000000;581.0000000;311511
HNFG;D;231113;000000;569.0000000;275253
HNFG;D;231114;000000;550.0000000;141136
HNFG;D;231115;000000;564.1000000;134799
HNFG;D;231116;000000;578.0000000;93913
HNFG;D;231117;000000;574.0000000;48993
HNFG;D;231120;000000;563.0000000;39669
HNFG;D;231121;000000;553.5000000;203338
HNFG;D;231122;000000;570.1000000;88646
HNFG;D;231123;000000;560.5000000;52347
HNFG;D;231124;000000;552.2000000;37104
HNFG;D;231127;000000;544.0000000;129976
HNFG;D;231128;000000;536.5000000;48432
HNFG;D;231129;000000;541.6000000;77065
HNFG;D;231130;000000;516.3000000;171636
HNFG;D;231201;000000;513.0000000;91750
HNFG;D;231204;000000;492.0000000;208180
HNFG;D;231205;000000;492.9000000;111803
HNFG;D;231206;000000;499.0000000;53397
HNFG;D;231207;000000;495.5000000;35685
HNFG;D;231208;000000;508.0000000;91579
HNFG;D;231211;000000;500.3000000;133388
HNFG;D;231212;000000;530.2000000;274209
HNFG;D;231213;000000;551.8000000;308095
