<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
KCHE;D;151202;000000;0.0765000;110000
KCHE;D;151203;000000;0.0725000;440000
KCHE;D;151209;000000;0.0710000;30000
KCHE;D;151215;000000;0.0690000;20000
KCHE;D;151216;000000;0.0700000;100000
KCHE;D;151222;000000;0.0660000;370000
KCHE;D;151223;000000;0.0670000;170000
KCHE;D;151225;000000;0.0710000;50000
KCHE;D;151228;000000;0.0715000;80000
KCHE;D;151230;000000;0.0695000;30000
KCHE;D;160106;000000;0.0740000;120000
KCHE;D;160115;000000;0.0680000;300000
KCHE;D;160118;000000;0.0660000;620000
KCHE;D;160120;000000;0.0660000;40000
KCHE;D;160122;000000;0.0650000;140000
KCHE;D;160125;000000;0.0650000;20000
KCHE;D;160126;000000;0.0630000;540000
KCHE;D;160127;000000;0.0880000;10370000
KCHE;D;160128;000000;0.1085000;6660000
KCHE;D;160129;000000;0.1170000;3620000
KCHE;D;160201;000000;0.1195000;1980000
KCHE;D;160202;000000;0.1100000;2190000
KCHE;D;160203;000000;0.1040000;1110000
KCHE;D;160204;000000;0.1060000;120000
KCHE;D;160205;000000;0.0985000;870000
KCHE;D;160208;000000;0.1085000;960000
KCHE;D;160209;000000;0.1055000;350000
KCHE;D;160210;000000;0.1055000;140000
KCHE;D;160211;000000;0.0945000;430000
KCHE;D;160212;000000;0.1010000;1110000
KCHE;D;160215;000000;0.1050000;2790000
KCHE;D;160216;000000;0.1190000;550000
KCHE;D;160217;000000;0.1140000;400000
KCHE;D;160218;000000;0.1070000;60000
KCHE;D;160219;000000;0.1135000;390000
KCHE;D;160220;000000;0.1105000;400000
KCHE;D;160222;000000;0.1110000;10000
KCHE;D;160224;000000;0.1050000;50000
KCHE;D;160225;000000;0.1060000;40000
KCHE;D;160226;000000;0.1070000;50000
KCHE;D;160229;000000;0.1035000;800000
KCHE;D;160301;000000;0.1140000;430000
KCHE;D;160302;000000;0.1190000;70000
KCHE;D;160303;000000;0.1205000;160000
KCHE;D;160304;000000;0.1090000;4120000
KCHE;D;160307;000000;0.1050000;170000
KCHE;D;160309;000000;0.1035000;180000
KCHE;D;160310;000000;0.1065000;70000
KCHE;D;160311;000000;0.1090000;460000
KCHE;D;160314;000000;0.1090000;140000
KCHE;D;160315;000000;0.1110000;270000
KCHE;D;160316;000000;0.1145000;600000
KCHE;D;160317;000000;0.1115000;190000
KCHE;D;160318;000000;0.1100000;60000
KCHE;D;160321;000000;0.1100000;10000
KCHE;D;160322;000000;0.1135000;20000
KCHE;D;160323;000000;0.1115000;130000
KCHE;D;160324;000000;0.1100000;120000
KCHE;D;160325;000000;0.1080000;90000
KCHE;D;160328;000000;0.1080000;60000
KCHE;D;160329;000000;0.1105000;20000
KCHE;D;160330;000000;0.1070000;10000
KCHE;D;160331;000000;0.1020000;1140000
KCHE;D;160404;000000;0.1050000;110000
KCHE;D;160406;000000;0.1060000;50000
KCHE;D;160407;000000;0.1065000;30000
KCHE;D;160408;000000;0.1070000;10000
KCHE;D;160411;000000;0.1070000;10000
KCHE;D;160413;000000;0.1070000;10000
KCHE;D;160415;000000;0.1105000;200000
KCHE;D;160418;000000;0.1115000;10000
KCHE;D;160419;000000;0.1135000;70000
KCHE;D;160420;000000;0.1080000;190000
KCHE;D;160421;000000;0.1100000;90000
KCHE;D;160422;000000;0.1145000;580000
KCHE;D;160425;000000;0.1065000;850000
KCHE;D;160426;000000;0.1140000;9720000
KCHE;D;160427;000000;0.1180000;1940000
KCHE;D;160428;000000;0.1270000;2720000
KCHE;D;160429;000000;0.1185000;370000
KCHE;D;160504;000000;0.1185000;50000
KCHE;D;160506;000000;0.1210000;40000
KCHE;D;160510;000000;0.1180000;40000
KCHE;D;160512;000000;0.1150000;60000
KCHE;D;160513;000000;0.1095000;880000
KCHE;D;160516;000000;0.1060000;520000
KCHE;D;160517;000000;0.1010000;60000
KCHE;D;160518;000000;0.1050000;240000
KCHE;D;160519;000000;0.1090000;150000
KCHE;D;160520;000000;0.1040000;90000
KCHE;D;160523;000000;0.1075000;60000
KCHE;D;160524;000000;0.1085000;20000
KCHE;D;160525;000000;0.1050000;110000
KCHE;D;160526;000000;0.1045000;20000
KCHE;D;160530;000000;0.1075000;10000
KCHE;D;160603;000000;0.1070000;150000
KCHE;D;160606;000000;0.0900000;6100000
KCHE;D;160607;000000;0.0905000;1800000
KCHE;D;160608;000000;0.0830000;3760000
KCHE;D;160609;000000;0.0865000;950000
KCHE;D;160610;000000;0.0885000;820000
KCHE;D;160614;000000;0.0880000;10000
KCHE;D;160615;000000;0.0880000;1290000
KCHE;D;160616;000000;0.0840000;70000
KCHE;D;160623;000000;0.0825000;10000
KCHE;D;160624;000000;0.0825000;270000
KCHE;D;160627;000000;0.0805000;210000
KCHE;D;160629;000000;0.0800000;10000
KCHE;D;160630;000000;0.0770000;20000
KCHE;D;160701;000000;0.0790000;10000
KCHE;D;160704;000000;0.0765000;10000
KCHE;D;160705;000000;0.0760000;610000
KCHE;D;160706;000000;0.0790000;950000
KCHE;D;160707;000000;0.0800000;20000
KCHE;D;160708;000000;0.0765000;50000
KCHE;D;160711;000000;0.0820000;440000
KCHE;D;160712;000000;0.0815000;70000
KCHE;D;160713;000000;0.0805000;180000
KCHE;D;160714;000000;0.0800000;240000
KCHE;D;160715;000000;0.0800000;10000
KCHE;D;160718;000000;0.0805000;10000
KCHE;D;160719;000000;0.0805000;100000
KCHE;D;160720;000000;0.0800000;20000
KCHE;D;160721;000000;0.0800000;330000
KCHE;D;160722;000000;0.0800000;80000
KCHE;D;160725;000000;0.0830000;570000
KCHE;D;160726;000000;0.0835000;310000
KCHE;D;160727;000000;0.0840000;270000
KCHE;D;160728;000000;0.0845000;660000
KCHE;D;160729;000000;0.0910000;710000
KCHE;D;160801;000000;0.0895000;40000
KCHE;D;160802;000000;0.0885000;1060000
KCHE;D;160803;000000;0.0890000;200000
KCHE;D;160804;000000;0.0890000;190000
KCHE;D;160808;000000;0.0920000;200000
KCHE;D;160809;000000;0.0915000;70000
KCHE;D;160811;000000;0.0925000;110000
KCHE;D;160812;000000;0.0925000;410000
KCHE;D;160815;000000;0.0915000;70000
KCHE;D;160816;000000;0.0915000;40000
KCHE;D;160817;000000;0.0845000;910000
KCHE;D;160818;000000;0.0850000;10000
KCHE;D;160819;000000;0.0895000;10000
KCHE;D;160824;000000;0.0895000;240000
KCHE;D;160825;000000;0.0895000;50000
KCHE;D;160826;000000;0.0890000;110000
KCHE;D;160829;000000;0.0895000;170000
KCHE;D;160830;000000;0.0810000;1750000
KCHE;D;160831;000000;0.0800000;1620000
KCHE;D;160901;000000;0.1115000;9550000
KCHE;D;160902;000000;0.1555000;9450000
KCHE;D;160905;000000;0.1405000;15150000
KCHE;D;160906;000000;0.1255000;4680000
KCHE;D;160907;000000;0.1255000;1950000
KCHE;D;160908;000000;0.1200000;1020000
KCHE;D;160909;000000;0.1185000;550000
KCHE;D;160912;000000;0.1115000;570000
KCHE;D;160913;000000;0.1560000;12800000
KCHE;D;160914;000000;0.2170000;16120000
KCHE;D;160915;000000;0.1600000;12230000
KCHE;D;160916;000000;0.1910000;12000000
KCHE;D;160919;000000;0.2030000;6760000
KCHE;D;160920;000000;0.2390000;15840000
KCHE;D;160921;000000;0.2325000;5170000
KCHE;D;160922;000000;0.2045000;2410000
KCHE;D;160923;000000;0.2105000;980000
KCHE;D;160926;000000;0.1995000;700000
KCHE;D;160927;000000;0.1885000;5150000
KCHE;D;160928;000000;0.1850000;960000
KCHE;D;160929;000000;0.1915000;600000
KCHE;D;160930;000000;0.1955000;480000
KCHE;D;161003;000000;0.1960000;780000
KCHE;D;161004;000000;0.2165000;4310000
KCHE;D;161005;000000;0.2230000;660000
KCHE;D;161006;000000;0.2065000;1890000
KCHE;D;161007;000000;0.2000000;480000
KCHE;D;161010;000000;0.1875000;2230000
KCHE;D;161011;000000;0.1840000;1010000
KCHE;D;161012;000000;0.2195000;5030000
KCHE;D;161013;000000;0.2120000;420000
KCHE;D;161014;000000;0.1980000;1410000
KCHE;D;161017;000000;0.1935000;1270000
KCHE;D;161018;000000;0.1955000;390000
KCHE;D;161019;000000;0.1925000;250000
KCHE;D;161020;000000;0.1855000;630000
KCHE;D;161021;000000;0.1795000;1130000
KCHE;D;161024;000000;0.1795000;280000
KCHE;D;161025;000000;0.1830000;210000
KCHE;D;161026;000000;0.1790000;600000
KCHE;D;161027;000000;0.1840000;40000
KCHE;D;161028;000000;0.1875000;470000
KCHE;D;161031;000000;0.1920000;1330000
KCHE;D;161101;000000;0.1820000;170000
KCHE;D;161102;000000;0.1810000;150000
KCHE;D;161103;000000;0.1780000;190000
KCHE;D;161107;000000;0.1800000;140000
KCHE;D;161108;000000;0.1745000;750000
KCHE;D;161109;000000;0.1715000;220000
KCHE;D;161110;000000;0.1805000;10000
KCHE;D;161114;000000;0.1700000;680000
KCHE;D;161115;000000;0.1665000;290000
KCHE;D;161116;000000;0.1625000;30000
KCHE;D;161117;000000;0.1705000;830000
KCHE;D;161118;000000;0.1725000;110000
KCHE;D;161121;000000;0.1750000;250000
KCHE;D;161122;000000;0.1720000;120000
KCHE;D;161123;000000;0.1740000;10000
KCHE;D;161124;000000;0.1695000;180000
KCHE;D;161125;000000;0.1735000;130000
KCHE;D;161130;000000;0.1745000;10000
KCHE;D;161201;000000;0.1795000;300000
KCHE;D;161202;000000;0.1800000;110000
KCHE;D;161205;000000;0.1720000;810000
KCHE;D;161206;000000;0.1725000;80000
KCHE;D;161207;000000;0.1730000;60000
KCHE;D;161208;000000;0.1740000;220000
KCHE;D;161209;000000;0.1715000;20000
KCHE;D;161212;000000;0.1780000;110000
KCHE;D;161213;000000;0.1710000;810000
KCHE;D;161214;000000;0.1710000;20000
KCHE;D;161215;000000;0.1690000;30000
KCHE;D;161216;000000;0.1680000;1030000
KCHE;D;161219;000000;0.1695000;450000
KCHE;D;161220;000000;0.1695000;30000
KCHE;D;161221;000000;0.1670000;190000
KCHE;D;161222;000000;0.1585000;660000
KCHE;D;161223;000000;0.1600000;10000
KCHE;D;161226;000000;0.1725000;170000
KCHE;D;161227;000000;0.1660000;30000
KCHE;D;161228;000000;0.1620000;20000
KCHE;D;161229;000000;0.1670000;10000
KCHE;D;170103;000000;0.1700000;70000
KCHE;D;170104;000000;0.1580000;250000
KCHE;D;170105;000000;0.1740000;460000
