<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
LVHK;D;151201;000000;8.2500000;200
LVHK;D;151202;000000;8.2500000;2100
LVHK;D;151203;000000;8.2000000;4100
LVHK;D;151207;000000;8.6000000;2800
LVHK;D;151208;000000;8.5500000;300
LVHK;D;151209;000000;8.7500000;3900
LVHK;D;151210;000000;8.8000000;100
LVHK;D;151211;000000;8.7500000;4400
LVHK;D;151214;000000;8.6500000;3700
LVHK;D;151215;000000;8.4000000;4400
LVHK;D;151216;000000;8.4500000;3100
LVHK;D;151218;000000;8.5500000;300
LVHK;D;151221;000000;8.4000000;1100
LVHK;D;151224;000000;8.4500000;1000
LVHK;D;151225;000000;8.4000000;1700
LVHK;D;151228;000000;8.4500000;1800
LVHK;D;151230;000000;8.6500000;200
LVHK;D;160106;000000;8.8000000;1900
LVHK;D;160112;000000;8.4500000;200
LVHK;D;160113;000000;8.4500000;1200
LVHK;D;160118;000000;8.5500000;400
LVHK;D;160119;000000;8.5500000;100
LVHK;D;160120;000000;8.4500000;200
LVHK;D;160125;000000;8.4500000;100
LVHK;D;160126;000000;8.4000000;1000
LVHK;D;160127;000000;8.5500000;600
LVHK;D;160129;000000;8.5500000;2200
LVHK;D;160201;000000;8.5000000;100
LVHK;D;160202;000000;8.4500000;300
LVHK;D;160204;000000;8.5500000;100
LVHK;D;160205;000000;8.5500000;2600
LVHK;D;160211;000000;8.4500000;600
LVHK;D;160212;000000;8.5500000;100
LVHK;D;160220;000000;8.7000000;200
LVHK;D;160222;000000;8.7500000;1000
LVHK;D;160224;000000;8.4500000;300
LVHK;D;160226;000000;8.5500000;300
LVHK;D;160229;000000;8.5500000;100
LVHK;D;160301;000000;8.5500000;100
LVHK;D;160302;000000;8.5000000;2900
LVHK;D;160303;000000;8.5000000;300
LVHK;D;160304;000000;8.5000000;100
LVHK;D;160307;000000;8.6000000;4100
LVHK;D;160309;000000;8.5500000;4500
LVHK;D;160310;000000;8.4000000;1900
LVHK;D;160311;000000;8.4500000;5200
LVHK;D;160314;000000;8.5500000;2000
LVHK;D;160315;000000;8.5500000;300
LVHK;D;160316;000000;8.4500000;1300
LVHK;D;160317;000000;8.5500000;2500
LVHK;D;160318;000000;8.6000000;1600
LVHK;D;160322;000000;8.5500000;2200
LVHK;D;160323;000000;8.5500000;600
LVHK;D;160324;000000;8.5500000;100
LVHK;D;160325;000000;8.4500000;1700
LVHK;D;160328;000000;8.4500000;600
LVHK;D;160329;000000;8.5000000;200
LVHK;D;160330;000000;8.4000000;3600
LVHK;D;160331;000000;8.4000000;2100
LVHK;D;160401;000000;8.4500000;2000
LVHK;D;160404;000000;8.4500000;1600
LVHK;D;160405;000000;8.5500000;900
LVHK;D;160406;000000;8.5500000;1100
LVHK;D;160408;000000;8.5000000;1000
LVHK;D;160411;000000;8.5500000;200
LVHK;D;160412;000000;8.5000000;2500
LVHK;D;160414;000000;8.5500000;3000
LVHK;D;160415;000000;8.4500000;2200
LVHK;D;160418;000000;8.4000000;1100
LVHK;D;160419;000000;8.5500000;900
LVHK;D;160420;000000;8.4000000;2100
LVHK;D;160421;000000;8.3500000;400
LVHK;D;160422;000000;8.5000000;100
LVHK;D;160425;000000;8.4500000;8700
LVHK;D;160426;000000;8.2500000;5900
LVHK;D;160427;000000;8.2000000;70900
LVHK;D;160429;000000;8.3000000;200
LVHK;D;160504;000000;8.1000000;2300
LVHK;D;160505;000000;8.0000000;5100
LVHK;D;160506;000000;8.0000000;500
LVHK;D;160510;000000;8.0000000;200
LVHK;D;160512;000000;8.0500000;300
LVHK;D;160517;000000;7.9000000;300
LVHK;D;160518;000000;8.1000000;2000
LVHK;D;160520;000000;7.9500000;500
LVHK;D;160523;000000;7.8000000;7200
LVHK;D;160524;000000;7.7000000;4700
LVHK;D;160525;000000;7.6000000;3900
LVHK;D;160526;000000;7.7500000;2500
LVHK;D;160527;000000;7.7000000;1900
LVHK;D;160530;000000;8.0000000;65900
LVHK;D;160531;000000;7.8500000;2700
LVHK;D;160601;000000;7.6500000;2100
LVHK;D;160602;000000;7.7000000;1700
LVHK;D;160603;000000;7.7500000;300
LVHK;D;160606;000000;7.7000000;100
LVHK;D;160609;000000;7.6000000;200
LVHK;D;160610;000000;7.5500000;500
LVHK;D;160622;000000;7.7000000;100
LVHK;D;160624;000000;7.4000000;10400
LVHK;D;160627;000000;7.4000000;2000
LVHK;D;160628;000000;7.5000000;1600
LVHK;D;160701;000000;7.3500000;100
LVHK;D;160705;000000;7.5000000;100
LVHK;D;160706;000000;7.4000000;300
LVHK;D;160707;000000;7.5500000;100
LVHK;D;160712;000000;7.4500000;100
LVHK;D;160713;000000;7.5000000;3300
LVHK;D;160714;000000;7.4000000;11800
LVHK;D;160715;000000;7.5000000;100
LVHK;D;160719;000000;7.5500000;600
LVHK;D;160720;000000;7.5000000;300
LVHK;D;160721;000000;7.4500000;1000
LVHK;D;160725;000000;7.3000000;8300
LVHK;D;160726;000000;7.4000000;500
LVHK;D;160728;000000;7.4000000;200
LVHK;D;160729;000000;7.5000000;2000
LVHK;D;160801;000000;7.4000000;5600
LVHK;D;160802;000000;7.5000000;8700
LVHK;D;160803;000000;7.4000000;300
LVHK;D;160805;000000;7.5000000;6600
LVHK;D;160809;000000;7.5000000;5600
LVHK;D;160811;000000;7.3500000;14400
LVHK;D;160815;000000;7.4000000;2300
LVHK;D;160824;000000;7.4500000;1600
LVHK;D;160825;000000;7.3500000;1700
LVHK;D;160826;000000;7.4000000;300
LVHK;D;160829;000000;7.4000000;600
LVHK;D;160830;000000;7.4500000;100
LVHK;D;160901;000000;7.5000000;2600
LVHK;D;160902;000000;7.4500000;100
LVHK;D;160905;000000;7.4500000;100
LVHK;D;160906;000000;7.4500000;100
LVHK;D;160907;000000;7.4500000;100
LVHK;D;160909;000000;7.4500000;200
LVHK;D;160912;000000;7.4500000;4500
LVHK;D;160914;000000;7.5000000;100
LVHK;D;160915;000000;7.3500000;800
LVHK;D;160916;000000;7.4000000;300
LVHK;D;160919;000000;7.4000000;100
LVHK;D;160920;000000;7.3000000;1400
LVHK;D;160921;000000;7.2000000;5100
LVHK;D;160922;000000;7.3000000;1600
LVHK;D;160923;000000;7.1500000;4500
LVHK;D;160926;000000;7.2500000;400
LVHK;D;160930;000000;7.3000000;200
LVHK;D;161003;000000;7.1500000;500
LVHK;D;161004;000000;7.1500000;3000
LVHK;D;161005;000000;7.2000000;100
LVHK;D;161006;000000;7.2000000;400
LVHK;D;161007;000000;7.2500000;1700
LVHK;D;161010;000000;7.1500000;200
LVHK;D;161011;000000;7.1000000;1300
LVHK;D;161014;000000;7.2000000;1000
LVHK;D;161017;000000;7.2500000;300
LVHK;D;161021;000000;7.2000000;300
LVHK;D;161024;000000;7.0500000;11700
LVHK;D;161027;000000;7.1500000;100
LVHK;D;161028;000000;7.2000000;100
LVHK;D;161031;000000;7.2000000;500
LVHK;D;161101;000000;7.1500000;500
LVHK;D;161111;000000;7.2000000;200
LVHK;D;161115;000000;7.2500000;100
LVHK;D;161117;000000;7.1000000;1100
LVHK;D;161118;000000;7.2000000;100
LVHK;D;161123;000000;7.0000000;2800
LVHK;D;161124;000000;7.0000000;300
LVHK;D;161128;000000;7.0500000;2900
LVHK;D;161129;000000;7.1500000;2900
LVHK;D;161130;000000;7.1000000;3100
LVHK;D;161201;000000;7.1500000;1200
LVHK;D;161205;000000;7.0500000;800
LVHK;D;161206;000000;6.9500000;5600
LVHK;D;161207;000000;6.9500000;300
LVHK;D;161208;000000;7.0500000;600
LVHK;D;161209;000000;7.2000000;24900
LVHK;D;161212;000000;7.2500000;4100
LVHK;D;161213;000000;7.2000000;2200
LVHK;D;161214;000000;7.3500000;3300
LVHK;D;161215;000000;7.3000000;900
LVHK;D;161216;000000;7.3000000;300
LVHK;D;161219;000000;7.3500000;1600
LVHK;D;161220;000000;7.3500000;1000
LVHK;D;161221;000000;7.3500000;100
LVHK;D;161222;000000;7.3500000;700
LVHK;D;161226;000000;7.2500000;100
LVHK;D;161227;000000;7.1500000;100
LVHK;D;161228;000000;7.2000000;500
LVHK;D;161229;000000;7.2000000;100
LVHK;D;170103;000000;7.4000000;500
LVHK;D;170104;000000;7.2000000;2100
LVHK;D;170105;000000;7.1500000;1200
LVHK;D;170106;000000;7.2000000;2100
LVHK;D;170109;000000;7.3000000;500
LVHK;D;170110;000000;7.3000000;700
LVHK;D;170111;000000;7.3500000;2600
LVHK;D;170112;000000;7.4000000;2200
LVHK;D;170113;000000;7.4000000;800
LVHK;D;170116;000000;7.5500000;3500
LVHK;D;170117;000000;8.2500000;8900
LVHK;D;170118;000000;8.0000000;47000
LVHK;D;170119;000000;8.1000000;500
LVHK;D;170120;000000;8.1500000;200
LVHK;D;170123;000000;8.1000000;2300
LVHK;D;170124;000000;8.1000000;12000
LVHK;D;170127;000000;8.2000000;100
LVHK;D;170130;000000;8.3500000;900
LVHK;D;170131;000000;8.3000000;1100
LVHK;D;170201;000000;8.4000000;300
LVHK;D;170202;000000;8.0000000;2000
LVHK;D;170203;000000;8.3000000;100
LVHK;D;170207;000000;8.2500000;200
LVHK;D;170208;000000;8.2500000;400
LVHK;D;170209;000000;8.1000000;200
LVHK;D;170210;000000;8.3000000;200
LVHK;D;170213;000000;8.1000000;42600
LVHK;D;170214;000000;7.9000000;1400
LVHK;D;170215;000000;7.9500000;100
LVHK;D;170217;000000;7.9500000;100
LVHK;D;170220;000000;7.6000000;3100
LVHK;D;170221;000000;7.7000000;100
LVHK;D;170227;000000;7.7500000;100
LVHK;D;170307;000000;7.7500000;100
LVHK;D;170309;000000;7.5000000;200
LVHK;D;170310;000000;7.6000000;200
LVHK;D;170316;000000;7.5500000;100
LVHK;D;170322;000000;7.8500000;1400
LVHK;D;170323;000000;7.8000000;600
LVHK;D;170324;000000;7.6000000;100
LVHK;D;170330;000000;7.9000000;100
LVHK;D;170331;000000;7.7500000;100
LVHK;D;170411;000000;7.6000000;800
LVHK;D;170413;000000;7.3000000;200
LVHK;D;170414;000000;7.2500000;200
LVHK;D;170417;000000;7.6000000;400
LVHK;D;170419;000000;7.2500000;1200
LVHK;D;170420;000000;7.4500000;100
LVHK;D;170425;000000;7.0500000;700
LVHK;D;170428;000000;7.4500000;100
LVHK;D;170502;000000;7.3000000;100
LVHK;D;170503;000000;7.4500000;200
LVHK;D;170504;000000;7.3000000;200
LVHK;D;170505;000000;7.3000000;1000
LVHK;D;170510;000000;7.1000000;1600
LVHK;D;170511;000000;7.2000000;100
LVHK;D;170515;000000;7.0000000;100
LVHK;D;170516;000000;7.2500000;400
LVHK;D;170518;000000;7.2000000;100
LVHK;D;170519;000000;7.2000000;600
LVHK;D;170523;000000;7.2000000;400
LVHK;D;170529;000000;7.2500000;100
LVHK;D;170530;000000;7.0000000;41500
LVHK;D;170531;000000;6.9500000;200
LVHK;D;170602;000000;6.9000000;100
LVHK;D;170605;000000;7.0500000;100
LVHK;D;170607;000000;7.1000000;100
LVHK;D;170608;000000;7.1000000;100
LVHK;D;170613;000000;7.0000000;1100
LVHK;D;170615;000000;6.8000000;600
LVHK;D;170616;000000;7.0500000;200
LVHK;D;170619;000000;7.0500000;1000
LVHK;D;170623;000000;7.0500000;200
LVHK;D;170626;000000;7.1000000;100
LVHK;D;170627;000000;7.1000000;100
LVHK;D;170628;000000;7.0500000;200
LVHK;D;170630;000000;6.7500000;9800
LVHK;D;170703;000000;6.6000000;1400
LVHK;D;170704;000000;6.7000000;400
LVHK;D;170706;000000;6.8500000;200
LVHK;D;170707;000000;6.9500000;1700
LVHK;D;170710;000000;7.0500000;4200
LVHK;D;170711;000000;6.9000000;100
LVHK;D;170712;000000;6.5500000;400
LVHK;D;170714;000000;7.0000000;300
LVHK;D;170717;000000;6.8000000;500
LVHK;D;170719;000000;6.8000000;500
LVHK;D;170721;000000;7.2000000;100
LVHK;D;170724;000000;7.2500000;1900
LVHK;D;170725;000000;7.1000000;200
LVHK;D;170727;000000;6.8500000;400
LVHK;D;170804;000000;6.9000000;100
LVHK;D;170807;000000;7.3000000;4600
LVHK;D;170814;000000;7.2000000;200
LVHK;D;170817;000000;6.7500000;200
LVHK;D;170818;000000;7.0000000;600
LVHK;D;170822;000000;7.3000000;100
LVHK;D;170824;000000;6.5000000;1800
LVHK;D;170825;000000;6.5000000;4200
LVHK;D;170828;000000;6.5500000;3400
LVHK;D;170829;000000;6.5000000;1200
LVHK;D;170830;000000;6.5000000;200
LVHK;D;170901;000000;6.4500000;500
LVHK;D;170904;000000;6.7500000;5300
LVHK;D;170905;000000;6.6000000;300
LVHK;D;170906;000000;7.0500000;1100
LVHK;D;170907;000000;7.3500000;1700
LVHK;D;170908;000000;7.4000000;900
LVHK;D;170911;000000;7.4500000;1000
LVHK;D;170912;000000;8.0000000;4500
LVHK;D;170913;000000;7.3000000;4300
LVHK;D;170914;000000;7.2500000;500
LVHK;D;170915;000000;7.1000000;400
LVHK;D;170918;000000;7.3000000;2200
LVHK;D;170919;000000;7.2500000;600
LVHK;D;170920;000000;7.2000000;600
LVHK;D;170921;000000;7.0000000;4100
LVHK;D;170922;000000;7.0000000;1000
LVHK;D;170925;000000;7.0500000;1100
LVHK;D;170926;000000;6.9500000;400
LVHK;D;170927;000000;7.0500000;200
LVHK;D;170928;000000;7.0000000;300
LVHK;D;170929;000000;6.8500000;4000
LVHK;D;171002;000000;6.8500000;400
LVHK;D;171004;000000;6.8500000;1800
LVHK;D;171005;000000;6.6000000;1700
LVHK;D;171006;000000;6.8500000;600
LVHK;D;171009;000000;6.8500000;100
LVHK;D;171012;000000;6.8500000;400
LVHK;D;171013;000000;6.8500000;100
LVHK;D;171016;000000;6.8000000;200
LVHK;D;171017;000000;6.9000000;1500
LVHK;D;171018;000000;6.8500000;600
LVHK;D;171019;000000;6.7500000;12000
LVHK;D;171020;000000;6.8000000;700
LVHK;D;171023;000000;6.7500000;2400
LVHK;D;171024;000000;6.9000000;2700
LVHK;D;171027;000000;6.8000000;500
LVHK;D;171030;000000;6.9500000;100
LVHK;D;171031;000000;6.7500000;200
LVHK;D;171101;000000;6.7500000;3000
