<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
MDMG;D;201109;000000;466.5000000;80240
MDMG;D;201110;000000;454.0000000;44870
MDMG;D;201111;000000;478.4500000;37140
MDMG;D;201112;000000;480.4500000;45500
MDMG;D;201113;000000;486.1500000;19320
MDMG;D;201116;000000;475.0000000;28740
MDMG;D;201117;000000;472.2000000;14520
MDMG;D;201118;000000;471.7500000;18020
MDMG;D;201119;000000;472.7500000;8000
MDMG;D;201120;000000;474.0000000;4520
MDMG;D;201123;000000;470.5000000;5480
MDMG;D;201124;000000;471.0000000;5370
MDMG;D;201125;000000;469.8000000;9560
MDMG;D;201126;000000;465.2000000;10940
MDMG;D;201127;000000;470.1000000;8120
MDMG;D;201130;000000;469.2000000;6270
MDMG;D;201201;000000;470.0000000;6970
MDMG;D;201202;000000;467.0000000;3060
MDMG;D;201203;000000;455.6000000;15050
MDMG;D;201204;000000;458.2000000;13200
MDMG;D;201207;000000;457.5000000;11250
MDMG;D;201208;000000;455.0000000;6130
MDMG;D;201209;000000;456.0500000;5760
MDMG;D;201210;000000;455.0500000;9150
MDMG;D;201211;000000;455.6000000;9950
MDMG;D;201214;000000;457.9000000;18530
MDMG;D;201215;000000;466.9500000;5930
MDMG;D;201216;000000;456.0000000;10920
MDMG;D;201217;000000;450.2500000;26940
MDMG;D;201218;000000;451.6500000;3620
MDMG;D;201221;000000;451.4000000;4610
MDMG;D;201222;000000;451.7000000;10100
MDMG;D;201223;000000;451.0000000;2400
MDMG;D;201224;000000;451.0000000;8030
MDMG;D;201225;000000;452.0500000;2710
MDMG;D;201228;000000;451.6000000;4850
MDMG;D;201229;000000;451.5500000;13680
MDMG;D;201230;000000;457.4000000;6930
MDMG;D;210104;000000;460.0000000;14560
MDMG;D;210105;000000;462.2500000;11230
MDMG;D;210106;000000;461.9500000;24920
MDMG;D;210108;000000;465.5000000;4210
MDMG;D;210111;000000;471.8500000;12550
MDMG;D;210112;000000;467.2500000;11060
MDMG;D;210113;000000;464.0500000;4490
MDMG;D;210114;000000;463.7000000;6360
MDMG;D;210115;000000;463.5500000;6560
MDMG;D;210118;000000;465.0500000;5800
MDMG;D;210119;000000;490.9000000;112200
MDMG;D;210120;000000;501.9500000;312480
MDMG;D;210121;000000;490.0000000;39230
MDMG;D;210122;000000;491.2000000;25290
MDMG;D;210125;000000;499.4500000;14130
MDMG;D;210126;000000;489.5000000;14070
MDMG;D;210127;000000;487.6500000;9220
MDMG;D;210128;000000;485.0000000;7160
MDMG;D;210129;000000;471.9500000;18150
MDMG;D;210201;000000;464.0000000;88400
MDMG;D;210202;000000;471.0000000;32080
MDMG;D;210203;000000;468.3500000;12340
MDMG;D;210204;000000;466.5000000;6230
MDMG;D;210205;000000;463.0000000;9480
MDMG;D;210208;000000;486.1000000;51140
MDMG;D;210209;000000;499.9500000;69380
MDMG;D;210210;000000;498.1000000;26600
MDMG;D;210211;000000;497.0000000;42230
MDMG;D;210212;000000;492.3500000;26700
MDMG;D;210215;000000;492.2000000;3430
MDMG;D;210216;000000;495.1000000;6600
MDMG;D;210217;000000;502.0000000;27290
MDMG;D;210218;000000;507.0000000;30480
MDMG;D;210219;000000;510.0000000;57780
MDMG;D;210220;000000;537.0500000;263720
MDMG;D;210222;000000;543.9500000;86120
MDMG;D;210224;000000;518.5000000;58950
MDMG;D;210225;000000;510.0000000;26910
MDMG;D;210226;000000;502.0000000;48770
MDMG;D;210301;000000;507.0000000;58650
MDMG;D;210302;000000;512.0500000;46100
MDMG;D;210303;000000;513.1000000;10270
MDMG;D;210304;000000;523.0000000;15250
MDMG;D;210305;000000;527.9500000;31340
MDMG;D;210309;000000;524.9500000;7790
MDMG;D;210310;000000;520.4000000;10730
MDMG;D;210311;000000;515.4000000;9540
MDMG;D;210312;000000;513.5000000;7540
MDMG;D;210315;000000;508.7000000;13590
MDMG;D;210316;000000;507.2500000;10830
MDMG;D;210317;000000;512.0000000;4750
MDMG;D;210318;000000;516.0000000;10430
MDMG;D;210319;000000;510.7000000;3650
MDMG;D;210322;000000;529.7500000;21860
MDMG;D;210323;000000;538.5000000;39000
MDMG;D;210324;000000;547.0000000;23910
MDMG;D;210325;000000;562.1000000;33180
MDMG;D;210326;000000;563.0000000;67650
MDMG;D;210329;000000;558.4000000;17290
MDMG;D;210330;000000;558.4000000;12560
MDMG;D;210331;000000;558.9000000;19900
MDMG;D;210401;000000;569.9000000;13390
MDMG;D;210402;000000;574.6500000;16500
MDMG;D;210405;000000;592.6500000;27940
MDMG;D;210406;000000;575.4500000;29050
MDMG;D;210407;000000;594.7000000;37120
MDMG;D;210408;000000;594.1500000;14830
MDMG;D;210409;000000;592.0000000;20900
MDMG;D;210412;000000;596.0000000;16430
MDMG;D;210413;000000;589.0000000;8390
MDMG;D;210414;000000;580.7000000;15570
MDMG;D;210415;000000;589.1500000;19290
MDMG;D;210416;000000;585.9500000;7470
MDMG;D;210419;000000;582.5500000;14190
MDMG;D;210420;000000;583.1000000;11590
MDMG;D;210421;000000;583.2500000;19060
MDMG;D;210422;000000;577.1500000;9660
MDMG;D;210423;000000;571.1500000;11040
MDMG;D;210426;000000;573.0500000;16790
MDMG;D;210427;000000;636.0000000;150800
MDMG;D;210428;000000;620.2500000;53120
MDMG;D;210429;000000;615.5000000;87530
MDMG;D;210430;000000;600.0500000;38940
MDMG;D;210504;000000;590.0000000;16490
MDMG;D;210505;000000;596.6000000;12300
MDMG;D;210506;000000;613.6000000;7760
MDMG;D;210507;000000;642.0000000;36190
MDMG;D;210510;000000;628.3000000;18090
MDMG;D;210511;000000;632.2000000;45680
MDMG;D;210512;000000;635.0000000;9870
MDMG;D;210513;000000;639.6000000;14590
MDMG;D;210514;000000;635.2000000;8210
MDMG;D;210517;000000;621.4000000;26800
MDMG;D;210518;000000;630.1000000;20240
MDMG;D;210519;000000;620.0000000;18690
MDMG;D;210520;000000;620.5000000;18640
MDMG;D;210521;000000;625.0000000;5370
