<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
MGTSP;D;151201;000000;545.0000000;20
MGTSP;D;151202;000000;525.0000000;440
MGTSP;D;151203;000000;535.0000000;110
MGTSP;D;151204;000000;537.0000000;400
MGTSP;D;151207;000000;535.0000000;810
MGTSP;D;151208;000000;541.0000000;280
MGTSP;D;151209;000000;542.0000000;150
MGTSP;D;151210;000000;540.0000000;30
MGTSP;D;151211;000000;530.0000000;30
MGTSP;D;151214;000000;532.0000000;80
MGTSP;D;151215;000000;537.0000000;40
MGTSP;D;151217;000000;540.0000000;20
MGTSP;D;151218;000000;537.0000000;290
MGTSP;D;151221;000000;533.0000000;3760
MGTSP;D;151222;000000;530.0000000;5000
MGTSP;D;151223;000000;534.0000000;600
MGTSP;D;151224;000000;545.0000000;1460
MGTSP;D;151225;000000;534.0000000;340
MGTSP;D;151228;000000;532.0000000;1910
MGTSP;D;151229;000000;540.0000000;100
MGTSP;D;151230;000000;540.0000000;60
MGTSP;D;160104;000000;543.0000000;10
MGTSP;D;160105;000000;530.0000000;90
MGTSP;D;160106;000000;542.0000000;20
MGTSP;D;160111;000000;526.0000000;230
MGTSP;D;160112;000000;543.0000000;150
MGTSP;D;160113;000000;541.0000000;40
MGTSP;D;160114;000000;531.0000000;360
MGTSP;D;160115;000000;531.0000000;790
MGTSP;D;160118;000000;536.0000000;420
MGTSP;D;160119;000000;537.0000000;70
MGTSP;D;160120;000000;531.0000000;170
MGTSP;D;160121;000000;527.0000000;200
MGTSP;D;160122;000000;533.0000000;570
MGTSP;D;160125;000000;542.0000000;70
MGTSP;D;160126;000000;545.0000000;90
MGTSP;D;160127;000000;550.0000000;260
MGTSP;D;160128;000000;553.0000000;140
MGTSP;D;160129;000000;550.0000000;120
MGTSP;D;160201;000000;548.0000000;850
MGTSP;D;160202;000000;547.0000000;40
MGTSP;D;160203;000000;545.0000000;660
MGTSP;D;160204;000000;549.0000000;550
MGTSP;D;160205;000000;551.0000000;80
MGTSP;D;160208;000000;555.0000000;110
MGTSP;D;160209;000000;555.0000000;800
MGTSP;D;160210;000000;570.0000000;840
MGTSP;D;160211;000000;555.0000000;1200
MGTSP;D;160212;000000;577.0000000;80
MGTSP;D;160215;000000;579.0000000;40
MGTSP;D;160216;000000;561.0000000;50
MGTSP;D;160217;000000;552.0000000;10
MGTSP;D;160218;000000;563.0000000;30
MGTSP;D;160220;000000;563.0000000;120
MGTSP;D;160224;000000;563.0000000;160
MGTSP;D;160225;000000;579.0000000;440
MGTSP;D;160226;000000;564.0000000;20
MGTSP;D;160229;000000;578.0000000;40
MGTSP;D;160302;000000;567.0000000;50
MGTSP;D;160303;000000;570.0000000;290
MGTSP;D;160304;000000;585.0000000;2800
MGTSP;D;160307;000000;571.0000000;200
MGTSP;D;160310;000000;580.0000000;30
MGTSP;D;160314;000000;587.0000000;510
MGTSP;D;160315;000000;575.0000000;170
MGTSP;D;160316;000000;580.0000000;100
MGTSP;D;160317;000000;573.0000000;20
MGTSP;D;160318;000000;575.0000000;60
MGTSP;D;160321;000000;570.0000000;1090
MGTSP;D;160322;000000;570.0000000;320
MGTSP;D;160323;000000;568.0000000;300
MGTSP;D;160324;000000;568.0000000;390
MGTSP;D;160330;000000;570.0000000;50
MGTSP;D;160331;000000;566.0000000;420
MGTSP;D;160401;000000;604.0000000;4580
MGTSP;D;160404;000000;609.0000000;1820
MGTSP;D;160405;000000;597.0000000;210
MGTSP;D;160406;000000;610.0000000;650
MGTSP;D;160407;000000;610.0000000;550
MGTSP;D;160408;000000;601.0000000;10
MGTSP;D;160411;000000;610.0000000;1020
MGTSP;D;160412;000000;600.0000000;740
MGTSP;D;160413;000000;600.0000000;610
MGTSP;D;160414;000000;615.0000000;1310
MGTSP;D;160415;000000;616.0000000;70
MGTSP;D;160418;000000;626.0000000;530
MGTSP;D;160419;000000;632.0000000;650
MGTSP;D;160420;000000;625.0000000;1720
MGTSP;D;160425;000000;620.0000000;20
MGTSP;D;160426;000000;620.0000000;120
MGTSP;D;160427;000000;614.0000000;50
MGTSP;D;160428;000000;608.0000000;150
MGTSP;D;160504;000000;604.0000000;70
MGTSP;D;160505;000000;604.0000000;50
MGTSP;D;160510;000000;620.0000000;150
MGTSP;D;160511;000000;610.0000000;20
MGTSP;D;160512;000000;605.0000000;2050
MGTSP;D;160513;000000;845.0000000;2140
MGTSP;D;160516;000000;998.0000000;12870
MGTSP;D;160517;000000;950.0000000;7700
MGTSP;D;160518;000000;923.0000000;12080
MGTSP;D;160519;000000;920.0000000;16000
MGTSP;D;160520;000000;916.0000000;7800
MGTSP;D;160523;000000;918.0000000;4630
MGTSP;D;160524;000000;912.0000000;7010
MGTSP;D;160525;000000;912.0000000;3680
MGTSP;D;160526;000000;912.0000000;4350
MGTSP;D;160527;000000;912.0000000;1340
MGTSP;D;160530;000000;923.0000000;890
MGTSP;D;160531;000000;923.0000000;400
MGTSP;D;160601;000000;917.0000000;1960
MGTSP;D;160602;000000;923.0000000;1190
MGTSP;D;160603;000000;907.0000000;3250
MGTSP;D;160606;000000;918.0000000;530
MGTSP;D;160607;000000;922.0000000;970
MGTSP;D;160608;000000;915.0000000;2890
MGTSP;D;160609;000000;906.0000000;2310
MGTSP;D;160610;000000;909.0000000;930
MGTSP;D;160614;000000;902.0000000;2990
MGTSP;D;160615;000000;900.0000000;1330
MGTSP;D;160616;000000;914.0000000;570
MGTSP;D;160617;000000;901.0000000;720
MGTSP;D;160620;000000;906.0000000;2820
MGTSP;D;160621;000000;905.0000000;4340
MGTSP;D;160622;000000;900.0000000;3570
MGTSP;D;160623;000000;900.0000000;3380
MGTSP;D;160624;000000;909.0000000;2010
MGTSP;D;160627;000000;935.0000000;2900
MGTSP;D;160628;000000;950.0000000;2140
MGTSP;D;160629;000000;950.0000000;1340
MGTSP;D;160630;000000;979.0000000;1480
MGTSP;D;160701;000000;984.0000000;3240
MGTSP;D;160704;000000;992.0000000;880
MGTSP;D;160705;000000;998.0000000;2620
MGTSP;D;160706;000000;985.0000000;1720
MGTSP;D;160707;000000;999.0000000;2260
MGTSP;D;160708;000000;999.0000000;4030
MGTSP;D;160711;000000;1015.0000000;5080
MGTSP;D;160712;000000;1014.0000000;3830
MGTSP;D;160713;000000;1029.0000000;4140
MGTSP;D;160714;000000;1040.0000000;12830
MGTSP;D;160715;000000;799.0000000;12050
MGTSP;D;160718;000000;800.0000000;890
MGTSP;D;160719;000000;785.0000000;2420
MGTSP;D;160720;000000;780.0000000;570
MGTSP;D;160721;000000;774.0000000;1450
MGTSP;D;160722;000000;777.0000000;900
MGTSP;D;160725;000000;765.0000000;820
MGTSP;D;160726;000000;788.0000000;910
MGTSP;D;160727;000000;793.0000000;90
MGTSP;D;160728;000000;791.0000000;60
MGTSP;D;160729;000000;770.0000000;1790
MGTSP;D;160801;000000;783.0000000;70
MGTSP;D;160802;000000;770.0000000;230
MGTSP;D;160803;000000;773.0000000;170
MGTSP;D;160804;000000;770.0000000;250
MGTSP;D;160805;000000;773.0000000;770
MGTSP;D;160808;000000;775.0000000;490
MGTSP;D;160809;000000;775.0000000;440
MGTSP;D;160810;000000;780.0000000;450
MGTSP;D;160811;000000;772.0000000;140
MGTSP;D;160812;000000;778.0000000;820
MGTSP;D;160815;000000;776.0000000;360
MGTSP;D;160816;000000;780.0000000;240
MGTSP;D;160817;000000;780.0000000;320
MGTSP;D;160818;000000;780.0000000;410
MGTSP;D;160819;000000;773.0000000;280
MGTSP;D;160822;000000;780.0000000;230
MGTSP;D;160823;000000;779.0000000;330
MGTSP;D;160824;000000;779.0000000;160
MGTSP;D;160825;000000;762.0000000;2780
MGTSP;D;160826;000000;761.0000000;700
MGTSP;D;160829;000000;762.0000000;2220
MGTSP;D;160830;000000;756.0000000;940
MGTSP;D;160831;000000;758.0000000;790
MGTSP;D;160901;000000;751.0000000;1170
MGTSP;D;160902;000000;750.0000000;520
MGTSP;D;160905;000000;751.0000000;320
MGTSP;D;160906;000000;746.0000000;980
MGTSP;D;160907;000000;746.0000000;190
MGTSP;D;160908;000000;737.0000000;710
MGTSP;D;160909;000000;739.0000000;560
MGTSP;D;160912;000000;747.0000000;140
MGTSP;D;160913;000000;744.0000000;150
