<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
MTSS;D;151201;000000;216.5000000;1685150
MTSS;D;151202;000000;217.0000000;1327480
MTSS;D;151203;000000;217.5500000;1384970
MTSS;D;151204;000000;214.8000000;2626020
MTSS;D;151207;000000;216.0000000;3529860
MTSS;D;151208;000000;215.9500000;3868660
MTSS;D;151209;000000;218.4500000;2125300
MTSS;D;151210;000000;217.0000000;3567910
MTSS;D;151211;000000;216.0000000;2324360
MTSS;D;151214;000000;213.5500000;4649440
MTSS;D;151215;000000;217.0000000;1967510
MTSS;D;151216;000000;220.0000000;3046040
MTSS;D;151217;000000;221.1000000;2452480
MTSS;D;151218;000000;221.5000000;2412710
MTSS;D;151221;000000;213.0500000;3605930
MTSS;D;151222;000000;212.8500000;1352330
MTSS;D;151223;000000;211.7500000;3631190
MTSS;D;151224;000000;213.0000000;1560910
MTSS;D;151225;000000;212.2000000;656820
MTSS;D;151228;000000;210.2500000;1159230
MTSS;D;151229;000000;211.5000000;3415320
MTSS;D;151230;000000;210.0000000;1292760
MTSS;D;160104;000000;208.4500000;631620
MTSS;D;160105;000000;210.7500000;651610
MTSS;D;160106;000000;210.0000000;1048440
MTSS;D;160111;000000;200.5500000;5064120
MTSS;D;160112;000000;205.0000000;3497980
MTSS;D;160113;000000;208.0000000;3942520
MTSS;D;160114;000000;210.8500000;3371540
MTSS;D;160115;000000;205.0000000;5054500
MTSS;D;160118;000000;205.4000000;1313760
MTSS;D;160119;000000;208.0000000;3054900
MTSS;D;160120;000000;204.8000000;3576940
MTSS;D;160121;000000;211.7000000;3371550
MTSS;D;160122;000000;216.5000000;4905660
MTSS;D;160125;000000;215.5000000;2982770
MTSS;D;160126;000000;218.1000000;2140250
MTSS;D;160127;000000;224.0000000;4450850
MTSS;D;160128;000000;227.2000000;4329410
MTSS;D;160129;000000;226.0000000;4198010
MTSS;D;160201;000000;227.0000000;1966040
MTSS;D;160202;000000;229.5000000;3616940
MTSS;D;160203;000000;230.6000000;2921630
MTSS;D;160204;000000;232.0000000;5624970
MTSS;D;160205;000000;231.8500000;2876890
MTSS;D;160208;000000;227.0000000;1773700
MTSS;D;160209;000000;229.0000000;1593080
MTSS;D;160210;000000;227.6000000;2399530
MTSS;D;160211;000000;226.3000000;4550530
MTSS;D;160212;000000;229.7500000;2020150
MTSS;D;160215;000000;228.5000000;1167230
MTSS;D;160216;000000;233.0000000;1748730
MTSS;D;160217;000000;234.2000000;3531580
MTSS;D;160218;000000;238.0000000;4408150
MTSS;D;160219;000000;236.8000000;2951450
MTSS;D;160220;000000;235.4500000;437960
MTSS;D;160222;000000;238.0000000;1105670
MTSS;D;160224;000000;228.0000000;3839160
MTSS;D;160225;000000;228.1000000;3024240
MTSS;D;160226;000000;230.2500000;2913050
MTSS;D;160229;000000;233.0000000;3514030
MTSS;D;160301;000000;230.9500000;2140170
MTSS;D;160302;000000;231.0000000;964910
MTSS;D;160303;000000;234.5000000;2981410
MTSS;D;160304;000000;234.6500000;1581650
MTSS;D;160307;000000;239.6500000;2736030
MTSS;D;160309;000000;236.5000000;3107960
MTSS;D;160310;000000;232.8000000;2211880
MTSS;D;160311;000000;231.8500000;3299170
MTSS;D;160314;000000;232.9000000;1449260
MTSS;D;160315;000000;232.1500000;3776890
MTSS;D;160316;000000;236.9500000;1908920
MTSS;D;160317;000000;236.0000000;5154900
MTSS;D;160318;000000;234.5000000;3288990
MTSS;D;160321;000000;237.2000000;2518130
MTSS;D;160322;000000;239.9000000;3382420
MTSS;D;160323;000000;235.5000000;2772710
MTSS;D;160324;000000;236.0000000;2263720
MTSS;D;160325;000000;236.5000000;555030
MTSS;D;160328;000000;236.9500000;1059250
MTSS;D;160329;000000;235.4000000;1333620
MTSS;D;160330;000000;236.3500000;1734490
MTSS;D;160331;000000;240.1000000;2902800
MTSS;D;160401;000000;237.6000000;2625890
MTSS;D;160404;000000;236.4500000;1451760
MTSS;D;160405;000000;233.3000000;2902070
MTSS;D;160406;000000;231.9000000;1786190
MTSS;D;160407;000000;234.4000000;2468700
