<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
RGSS;D;151201;000000;5.3900000;1000
RGSS;D;151202;000000;5.3000000;2000
RGSS;D;151203;000000;5.2800000;2000
RGSS;D;151204;000000;5.4000000;2000
RGSS;D;151207;000000;5.5300000;55001000
RGSS;D;151208;000000;5.5200000;35701000
RGSS;D;151210;000000;5.4500000;2000
RGSS;D;151215;000000;5.5600000;5000
RGSS;D;151216;000000;5.6000000;67000
RGSS;D;151223;000000;5.6000000;35000
RGSS;D;151224;000000;5.5900000;5000
RGSS;D;151228;000000;5.4000000;40000
RGSS;D;151229;000000;5.4000000;1000
RGSS;D;151230;000000;5.5400000;99000
RGSS;D;160115;000000;5.4600000;26000
RGSS;D;160118;000000;5.4600000;34000
RGSS;D;160119;000000;5.5600000;25000
RGSS;D;160121;000000;5.6900000;26000
RGSS;D;160122;000000;5.5600000;2000
RGSS;D;160128;000000;5.5400000;28000
RGSS;D;160129;000000;5.6600000;10000
RGSS;D;160201;000000;5.6900000;1000
RGSS;D;160203;000000;5.5600000;2000
RGSS;D;160208;000000;5.5500000;50000
RGSS;D;160209;000000;5.5000000;39000
RGSS;D;160211;000000;5.5500000;3000
RGSS;D;160225;000000;5.6300000;1000
RGSS;D;160226;000000;5.6300000;4000
RGSS;D;160229;000000;5.5500000;2000
RGSS;D;160301;000000;5.5100000;1000
RGSS;D;160303;000000;5.5700000;2000
RGSS;D;160311;000000;5.5000000;5000
RGSS;D;160314;000000;5.5000000;2000
RGSS;D;160315;000000;5.3700000;4000
RGSS;D;160316;000000;5.2400000;2000
RGSS;D;160317;000000;5.1000000;98000
RGSS;D;160318;000000;5.1500000;2000
RGSS;D;160321;000000;5.1500000;2000
RGSS;D;160322;000000;5.1500000;2000
RGSS;D;160323;000000;5.1500000;2000
RGSS;D;160324;000000;5.1500000;2000
RGSS;D;160325;000000;5.1800000;30000
RGSS;D;160328;000000;5.3600000;97000
RGSS;D;160329;000000;5.4900000;209000
RGSS;D;160330;000000;5.5300000;215000
RGSS;D;160331;000000;5.5100000;2000
RGSS;D;160401;000000;5.5100000;199000
RGSS;D;160404;000000;5.5400000;196000
RGSS;D;160405;000000;5.5300000;395000
RGSS;D;160406;000000;5.5400000;204000
RGSS;D;160407;000000;5.5400000;202000
RGSS;D;160408;000000;5.5300000;236000
RGSS;D;160411;000000;5.5200000;215000
RGSS;D;160412;000000;5.5300000;240000
RGSS;D;160413;000000;5.5400000;229000
RGSS;D;160414;000000;5.6000000;236000
RGSS;D;160415;000000;5.6200000;197000
RGSS;D;160418;000000;5.6200000;211000
RGSS;D;160419;000000;5.6400000;273000
RGSS;D;160420;000000;5.5900000;739000
RGSS;D;160421;000000;5.6700000;1000
RGSS;D;160422;000000;5.6700000;600717000
RGSS;D;160425;000000;5.6500000;1000
RGSS;D;160428;000000;0.5200000;11000
RGSS;D;160429;000000;0.4250000;56447000
RGSS;D;160504;000000;0.4020000;97312000
RGSS;D;160505;000000;0.3890000;16418000
RGSS;D;160506;000000;0.3770000;20833000
RGSS;D;160510;000000;0.3770000;1777000
RGSS;D;160511;000000;0.3810000;9586000
RGSS;D;160512;000000;0.3760000;4685000
RGSS;D;160513;000000;0.3750000;1400000
RGSS;D;160516;000000;0.3780000;4892000
RGSS;D;160517;000000;0.3780000;5791000
RGSS;D;160518;000000;0.3760000;7731000
RGSS;D;160519;000000;0.3770000;5525000
RGSS;D;160520;000000;0.3780000;5629000
RGSS;D;160523;000000;0.3770000;5655000
RGSS;D;160524;000000;0.3750000;8860000
RGSS;D;160525;000000;0.3770000;8741000
RGSS;D;160526;000000;0.3760000;3975000
RGSS;D;160527;000000;0.3770000;6055000
RGSS;D;160530;000000;0.3780000;5761000
RGSS;D;160531;000000;0.3810000;6090000
RGSS;D;160601;000000;0.3810000;6089000
RGSS;D;160602;000000;0.3770000;1712600000
RGSS;D;160603;000000;0.3750000;4246000
RGSS;D;160606;000000;0.3790000;2321000
RGSS;D;160607;000000;0.3830000;4073000
RGSS;D;160608;000000;0.3860000;7818270000
RGSS;D;160609;000000;0.3820000;392756000
RGSS;D;160610;000000;0.3820000;2318000
RGSS;D;160614;000000;0.3830000;889000
RGSS;D;160615;000000;0.3850000;4951000
RGSS;D;160616;000000;0.3860000;5673000
RGSS;D;160617;000000;0.3850000;5750000
RGSS;D;160620;000000;0.3860000;5949000
RGSS;D;160621;000000;0.3830000;5809000
RGSS;D;160622;000000;0.3860000;6077000
RGSS;D;160623;000000;0.3830000;6784000
RGSS;D;160624;000000;0.3810000;6090000
RGSS;D;160627;000000;0.3810000;6821000
RGSS;D;160628;000000;0.3860000;8424000
RGSS;D;160629;000000;0.3820000;16397000
RGSS;D;160630;000000;0.3850000;14807000
RGSS;D;160701;000000;0.3860000;16748000
RGSS;D;160704;000000;0.3840000;11798000
RGSS;D;160705;000000;0.3850000;7899000
RGSS;D;160706;000000;0.3850000;7018000
RGSS;D;160707;000000;0.3840000;17238000
RGSS;D;160708;000000;0.3870000;13409000
RGSS;D;160711;000000;0.3860000;8533000
RGSS;D;160712;000000;0.3850000;8272000
RGSS;D;160713;000000;0.3850000;13411000
RGSS;D;160714;000000;0.3860000;13324000
RGSS;D;160715;000000;0.3890000;14462000
RGSS;D;160718;000000;0.3880000;13415000
RGSS;D;160719;000000;0.3850000;13227000
RGSS;D;160720;000000;0.3850000;13109000
RGSS;D;160721;000000;0.3890000;13449000
RGSS;D;160722;000000;0.3890000;15565000
RGSS;D;160725;000000;0.3900000;16080000
RGSS;D;160726;000000;0.3880000;17110000
RGSS;D;160727;000000;0.3910000;16352000
RGSS;D;160728;000000;0.3920000;18308000
RGSS;D;160729;000000;0.3900000;18291000
RGSS;D;160801;000000;0.3920000;22782000
