<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SELG;D;151201;000000;6.4000000;1470300
SELG;D;151202;000000;5.7700000;977000
SELG;D;151203;000000;6.9400000;2118600
SELG;D;151204;000000;5.7700000;830900
SELG;D;151207;000000;5.6200000;443700
SELG;D;151208;000000;7.3000000;26083300
SELG;D;151209;000000;6.7800000;931100
SELG;D;151210;000000;6.6700000;1159600
SELG;D;151211;000000;6.2500000;246900
SELG;D;151214;000000;5.9300000;333200
SELG;D;151215;000000;6.0000000;168400
SELG;D;151216;000000;6.0200000;458000
SELG;D;151217;000000;6.1300000;225100
SELG;D;151218;000000;6.2000000;63500
SELG;D;151221;000000;6.4800000;175300
SELG;D;151222;000000;6.1500000;199300
SELG;D;151223;000000;5.9600000;850600
SELG;D;151224;000000;5.3900000;2994300
SELG;D;151225;000000;5.2500000;240600
SELG;D;151228;000000;5.2000000;95300
SELG;D;151229;000000;5.1200000;191200
SELG;D;151230;000000;5.0100000;104100
SELG;D;160104;000000;5.1500000;69100
SELG;D;160105;000000;5.0800000;43400
SELG;D;160106;000000;5.1400000;48400
SELG;D;160111;000000;5.0000000;57800
SELG;D;160112;000000;4.9700000;82500
SELG;D;160113;000000;4.9800000;58500
SELG;D;160114;000000;4.6300000;217900
SELG;D;160115;000000;4.4500000;285700
SELG;D;160118;000000;4.7900000;208200
SELG;D;160119;000000;4.8300000;110600
SELG;D;160120;000000;4.5400000;239100
SELG;D;160121;000000;4.5700000;62100
SELG;D;160122;000000;4.4900000;147300
SELG;D;160125;000000;4.5100000;72100
SELG;D;160126;000000;4.5400000;21300
SELG;D;160127;000000;4.4500000;59400
SELG;D;160128;000000;4.3900000;116300
SELG;D;160129;000000;4.5200000;123600
SELG;D;160201;000000;4.5500000;67000
SELG;D;160202;000000;4.7900000;834900
SELG;D;160203;000000;4.8300000;158000
SELG;D;160204;000000;4.8400000;181300
SELG;D;160205;000000;5.1200000;15129200
SELG;D;160208;000000;5.0500000;183500
SELG;D;160209;000000;5.0900000;79100
SELG;D;160210;000000;5.1200000;120800
SELG;D;160211;000000;5.0400000;7367400
SELG;D;160212;000000;5.0300000;43200
SELG;D;160215;000000;5.0500000;8400
SELG;D;160216;000000;5.1500000;32900
SELG;D;160217;000000;5.2000000;61200
SELG;D;160218;000000;5.0500000;32800
SELG;D;160219;000000;5.1600000;22900
SELG;D;160220;000000;10.0900000;4308700
SELG;D;160222;000000;8.7900000;4925800
SELG;D;160224;000000;8.6000000;1412300
SELG;D;160225;000000;8.5000000;864600
SELG;D;160226;000000;7.6600000;1487400
SELG;D;160229;000000;6.9500000;1263900
SELG;D;160301;000000;8.2100000;2606500
SELG;D;160302;000000;7.7400000;1893200
SELG;D;160303;000000;7.7900000;1019400
SELG;D;160304;000000;8.0100000;1304500
SELG;D;160307;000000;7.9500000;571300
SELG;D;160309;000000;9.4900000;3711900
SELG;D;160310;000000;8.9900000;3408100
SELG;D;160311;000000;8.6100000;2306500
SELG;D;160314;000000;7.9000000;2134100
SELG;D;160315;000000;7.4300000;1279900
SELG;D;160316;000000;7.5200000;974900
SELG;D;160317;000000;7.5700000;520000
SELG;D;160318;000000;7.6100000;357400
SELG;D;160321;000000;7.3800000;282300
SELG;D;160322;000000;7.1900000;337700
SELG;D;160323;000000;7.2200000;1664500
SELG;D;160324;000000;6.8500000;2065300
SELG;D;160325;000000;6.8600000;557100
SELG;D;160328;000000;6.9000000;206000
SELG;D;160329;000000;6.7900000;244400
SELG;D;160330;000000;7.0200000;1228100
SELG;D;160331;000000;6.9000000;345300
SELG;D;160401;000000;6.8800000;289700
SELG;D;160404;000000;6.7100000;156500
SELG;D;160405;000000;6.8000000;183000
SELG;D;160406;000000;6.9000000;596700
SELG;D;160407;000000;6.9800000;343200
SELG;D;160408;000000;6.8600000;82700
SELG;D;160411;000000;7.1000000;310800
SELG;D;160412;000000;7.1600000;311500
SELG;D;160413;000000;7.4600000;358800
SELG;D;160414;000000;7.3100000;333200
SELG;D;160415;000000;7.0600000;225600
SELG;D;160418;000000;7.1200000;206800
SELG;D;160419;000000;7.0700000;96500
SELG;D;160420;000000;7.4400000;744200
SELG;D;160421;000000;7.2400000;259700
SELG;D;160422;000000;7.3700000;284400
SELG;D;160425;000000;7.1600000;257000
SELG;D;160426;000000;7.1500000;103300
SELG;D;160427;000000;7.1500000;96700
SELG;D;160428;000000;7.7200000;6549700
SELG;D;160429;000000;7.4100000;4806700
SELG;D;160504;000000;7.3700000;266400
SELG;D;160505;000000;7.2600000;117300
SELG;D;160506;000000;7.3000000;110400
SELG;D;160510;000000;7.1300000;131900
SELG;D;160511;000000;7.1500000;452900
SELG;D;160512;000000;7.1200000;78400
SELG;D;160513;000000;6.9800000;101400
SELG;D;160516;000000;7.1600000;6518500
SELG;D;160517;000000;7.4700000;411100
SELG;D;160518;000000;7.6500000;508000
SELG;D;160519;000000;7.3600000;268500
SELG;D;160520;000000;7.4800000;249700
SELG;D;160523;000000;7.5100000;162400
SELG;D;160524;000000;7.4100000;118600
SELG;D;160525;000000;7.4400000;95200
SELG;D;160526;000000;7.5000000;469000
SELG;D;160527;000000;7.6700000;797600
SELG;D;160530;000000;7.7700000;1318400
SELG;D;160531;000000;7.8800000;72700
SELG;D;160601;000000;7.8200000;37000
SELG;D;160602;000000;7.5600000;101000
SELG;D;160603;000000;7.4900000;497600
SELG;D;160606;000000;7.3700000;235400
SELG;D;160607;000000;7.5000000;265000
SELG;D;160608;000000;7.3900000;39800
SELG;D;160609;000000;7.6300000;258200
SELG;D;160610;000000;7.4000000;134400
SELG;D;160614;000000;7.5400000;160100
SELG;D;160615;000000;7.4300000;32200
SELG;D;160616;000000;7.3800000;75900
SELG;D;160617;000000;7.4900000;141200
SELG;D;160620;000000;7.4000000;40400
SELG;D;160621;000000;7.4300000;39500
SELG;D;160622;000000;7.3400000;210700
SELG;D;160623;000000;7.3900000;103700
SELG;D;160624;000000;7.4600000;220200
SELG;D;160627;000000;7.5600000;53000
SELG;D;160628;000000;7.4000000;21900
SELG;D;160629;000000;7.4500000;73200
SELG;D;160630;000000;7.3800000;122700
SELG;D;160701;000000;7.4000000;281200
SELG;D;160704;000000;7.5000000;34100
SELG;D;160705;000000;7.4800000;81000
SELG;D;160706;000000;7.6100000;289700
SELG;D;160707;000000;7.6700000;70100
SELG;D;160708;000000;7.6000000;34500
SELG;D;160711;000000;7.6000000;85600
SELG;D;160712;000000;7.6100000;180500
SELG;D;160713;000000;7.6000000;73300
SELG;D;160714;000000;7.5900000;114900
SELG;D;160715;000000;7.6200000;121500
SELG;D;160718;000000;7.6200000;22900
SELG;D;160719;000000;7.6000000;58600
SELG;D;160720;000000;8.0000000;590100
SELG;D;160721;000000;9.0000000;1467600
SELG;D;160722;000000;8.6500000;940600
SELG;D;160725;000000;7.8000000;1326400
SELG;D;160726;000000;7.8000000;213400
SELG;D;160727;000000;7.8000000;71600
SELG;D;160728;000000;8.0200000;140200
SELG;D;160729;000000;8.1400000;46200
SELG;D;160801;000000;8.1000000;136600
SELG;D;160802;000000;8.1000000;40200
SELG;D;160803;000000;7.9500000;119500
SELG;D;160804;000000;7.9400000;74900
SELG;D;160805;000000;7.9200000;6400
SELG;D;160808;000000;8.0100000;16700
SELG;D;160809;000000;8.0000000;93500
SELG;D;160810;000000;8.1400000;101800
SELG;D;160811;000000;8.2500000;216600
SELG;D;160812;000000;8.1100000;49800
SELG;D;160815;000000;8.1400000;127500
SELG;D;160816;000000;8.0900000;29000
SELG;D;160817;000000;8.0400000;170400
SELG;D;160818;000000;8.0600000;104600
SELG;D;160819;000000;8.0600000;8600
SELG;D;160822;000000;8.0400000;66800
SELG;D;160823;000000;7.9800000;79600
SELG;D;160824;000000;7.9800000;19900
SELG;D;160825;000000;7.9900000;34800
SELG;D;160826;000000;8.0000000;217400
SELG;D;160829;000000;7.9700000;200
SELG;D;160830;000000;7.8600000;179900
SELG;D;160831;000000;7.9000000;62200
SELG;D;160901;000000;7.9000000;243300
SELG;D;160902;000000;7.5900000;360300
SELG;D;160905;000000;7.6100000;25800
SELG;D;160906;000000;7.5200000;95000
SELG;D;160907;000000;7.5800000;62300
SELG;D;160908;000000;7.5000000;53900
SELG;D;160909;000000;7.6400000;28300
SELG;D;160912;000000;7.5400000;20900
SELG;D;160913;000000;7.4100000;67600
SELG;D;160914;000000;7.4100000;37800
SELG;D;160915;000000;7.4000000;27800
SELG;D;160916;000000;7.4100000;57200
SELG;D;160919;000000;7.3300000;57700
SELG;D;160920;000000;7.3800000;60600
SELG;D;160921;000000;7.5500000;108600
SELG;D;160922;000000;7.8100000;1052200
SELG;D;160923;000000;7.7600000;1876800
SELG;D;160926;000000;7.4900000;194000
SELG;D;160927;000000;7.5200000;42000
SELG;D;160928;000000;7.5300000;218800
SELG;D;160929;000000;7.7700000;230600
SELG;D;160930;000000;7.7500000;264500
SELG;D;161003;000000;7.6200000;29600
SELG;D;161004;000000;7.5200000;45700
SELG;D;161005;000000;7.4900000;136100
SELG;D;161006;000000;7.4800000;20500
SELG;D;161007;000000;7.5200000;12100
SELG;D;161010;000000;7.5800000;824300
SELG;D;161011;000000;7.5600000;29600
SELG;D;161012;000000;7.5700000;31100
SELG;D;161013;000000;7.4900000;52700
SELG;D;161014;000000;7.4800000;46500
SELG;D;161017;000000;7.4900000;22800
SELG;D;161018;000000;7.4700000;60900
SELG;D;161019;000000;7.4900000;31600
SELG;D;161020;000000;7.4800000;4000
SELG;D;161021;000000;7.3900000;64500
SELG;D;161024;000000;7.4000000;97800
SELG;D;161025;000000;7.4900000;371900
SELG;D;161026;000000;7.4800000;91800
SELG;D;161027;000000;7.5000000;248600
SELG;D;161028;000000;7.5500000;62200
SELG;D;161031;000000;7.6200000;203300
SELG;D;161101;000000;7.6600000;57200
SELG;D;161102;000000;7.7300000;50600
SELG;D;161103;000000;7.5400000;55400
SELG;D;161107;000000;7.5100000;60100
SELG;D;161108;000000;7.4700000;28100
SELG;D;161109;000000;7.6000000;40800
SELG;D;161110;000000;7.5400000;47700
SELG;D;161111;000000;7.4700000;27800
SELG;D;161114;000000;7.4700000;30800
SELG;D;161115;000000;7.7300000;17342900
SELG;D;161116;000000;7.7600000;226100
SELG;D;161117;000000;7.5300000;749800
SELG;D;161118;000000;7.5500000;78900
SELG;D;161121;000000;7.5300000;30000
SELG;D;161122;000000;7.5800000;377100
SELG;D;161123;000000;7.6000000;42400
SELG;D;161124;000000;7.5900000;227100
SELG;D;161125;000000;7.5500000;19300
SELG;D;161128;000000;7.6100000;24000
SELG;D;161129;000000;7.9300000;513900
SELG;D;161130;000000;8.2100000;125700
SELG;D;161201;000000;8.4000000;380200
SELG;D;161202;000000;9.9500000;3985300
SELG;D;161205;000000;9.3700000;2337200
SELG;D;161206;000000;8.7700000;764700
SELG;D;161207;000000;8.9400000;218700
SELG;D;161208;000000;9.2700000;377900
SELG;D;161209;000000;9.9100000;656700
SELG;D;161212;000000;9.7100000;483300
SELG;D;161213;000000;9.5100000;227000
SELG;D;161214;000000;9.4800000;405400
SELG;D;161215;000000;9.3900000;60700
SELG;D;161216;000000;9.3700000;136500
SELG;D;161219;000000;9.3300000;53900
SELG;D;161220;000000;9.2300000;102500
SELG;D;161221;000000;8.7800000;406500
SELG;D;161222;000000;8.5500000;167500
SELG;D;161223;000000;8.9000000;227400
SELG;D;161226;000000;8.8300000;313500
SELG;D;161227;000000;8.8500000;39400
SELG;D;161228;000000;8.9000000;120500
SELG;D;161229;000000;9.1100000;216200
SELG;D;161230;000000;9.1400000;56400
SELG;D;170103;000000;9.1300000;19200
SELG;D;170104;000000;9.2200000;98600
SELG;D;170105;000000;9.5300000;442300
SELG;D;170106;000000;9.5900000;107700
SELG;D;170109;000000;9.6800000;51100
SELG;D;170110;000000;9.5200000;381400
SELG;D;170111;000000;9.3400000;149000
SELG;D;170112;000000;9.3900000;197700
SELG;D;170113;000000;9.3400000;55600
SELG;D;170116;000000;9.3200000;74500
SELG;D;170117;000000;9.3100000;73800
SELG;D;170118;000000;9.4500000;287100
SELG;D;170119;000000;9.4600000;341100
SELG;D;170120;000000;9.4000000;73400
