<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SFIN;D;151211;000000;570.0000000;97170
SFIN;D;151214;000000;574.0000000;250360
SFIN;D;151215;000000;569.0000000;200100
SFIN;D;151216;000000;573.9000000;180000
SFIN;D;151217;000000;571.9000000;154770
SFIN;D;151218;000000;573.4000000;481710
SFIN;D;151221;000000;574.2000000;399480
SFIN;D;151222;000000;572.0000000;10
SFIN;D;151223;000000;574.2000000;4510
SFIN;D;151224;000000;574.5000000;791580
SFIN;D;151225;000000;572.0000000;1170790
SFIN;D;151228;000000;575.1000000;348960
SFIN;D;151229;000000;574.8000000;4210
SFIN;D;151230;000000;574.8000000;4340
SFIN;D;160105;000000;571.0000000;10
SFIN;D;160111;000000;575.2000000;4290
SFIN;D;160112;000000;574.4000000;4410
SFIN;D;160113;000000;575.0000000;3600
SFIN;D;160114;000000;575.3000000;4050
SFIN;D;160115;000000;574.5000000;3180
SFIN;D;160118;000000;573.5000000;1350
SFIN;D;160119;000000;574.2000000;3225480
SFIN;D;160120;000000;574.2000000;2154140
SFIN;D;160121;000000;574.0000000;124350
SFIN;D;160122;000000;575.3000000;5220
SFIN;D;160125;000000;575.4000000;5110
SFIN;D;160126;000000;583.0000000;5110
SFIN;D;160127;000000;582.0000000;451990
SFIN;D;160128;000000;584.3000000;74760
SFIN;D;160129;000000;584.5000000;455600
SFIN;D;160201;000000;589.0000000;7510
SFIN;D;160202;000000;585.0000000;11760
SFIN;D;160203;000000;584.0000000;9750
SFIN;D;160204;000000;583.0000000;9300
SFIN;D;160205;000000;590.0000000;11420
SFIN;D;160208;000000;584.0000000;11250
SFIN;D;160209;000000;584.0000000;12640
SFIN;D;160210;000000;585.0000000;7700
SFIN;D;160211;000000;586.0000000;9130
SFIN;D;160212;000000;589.0000000;9160
SFIN;D;160215;000000;588.0000000;52370
SFIN;D;160216;000000;585.0000000;190510
SFIN;D;160217;000000;586.0000000;9590
SFIN;D;160219;000000;588.0000000;11380
SFIN;D;160220;000000;587.0000000;50
SFIN;D;160224;000000;585.0000000;12030
SFIN;D;160225;000000;584.0000000;10
SFIN;D;160226;000000;576.0000000;30
SFIN;D;160229;000000;585.0000000;180
SFIN;D;160302;000000;585.0000000;560
SFIN;D;160303;000000;589.0000000;13040
SFIN;D;160304;000000;590.0000000;25600
SFIN;D;160309;000000;598.0000000;45050
SFIN;D;160310;000000;598.0000000;31470
SFIN;D;160311;000000;598.0000000;220
SFIN;D;160315;000000;593.0000000;208080
