<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SMLT;D;201029;000000;953.0000000;209997
SMLT;D;201030;000000;955.0000000;54385
SMLT;D;201102;000000;957.0000000;16594
SMLT;D;201103;000000;952.6000000;8985
SMLT;D;201105;000000;952.8000000;15502
SMLT;D;201106;000000;952.0000000;9682
SMLT;D;201109;000000;942.0000000;14817
SMLT;D;201110;000000;950.0000000;12696
SMLT;D;201111;000000;948.0000000;9998
SMLT;D;201112;000000;947.0000000;3810
SMLT;D;201113;000000;947.0000000;6270
SMLT;D;201116;000000;948.4000000;12746
SMLT;D;201117;000000;947.6000000;5005
SMLT;D;201118;000000;947.0000000;10422
SMLT;D;201119;000000;946.2000000;3687
SMLT;D;201120;000000;943.2000000;3896
SMLT;D;201123;000000;946.2000000;8912
SMLT;D;201124;000000;947.8000000;5497
SMLT;D;201125;000000;949.0000000;14178
SMLT;D;201126;000000;945.0000000;6659
SMLT;D;201127;000000;946.8000000;7648
SMLT;D;201130;000000;944.0000000;2344
SMLT;D;201201;000000;945.0000000;5640
SMLT;D;201202;000000;946.0000000;7140
SMLT;D;201203;000000;942.6000000;6730
SMLT;D;201204;000000;943.8000000;6791
SMLT;D;201207;000000;935.6000000;17152
SMLT;D;201208;000000;935.0000000;5704
SMLT;D;201209;000000;940.8000000;6472
SMLT;D;201210;000000;939.0000000;7899
SMLT;D;201211;000000;936.0000000;2306
SMLT;D;201214;000000;952.2000000;22427
SMLT;D;201215;000000;967.0000000;18436
SMLT;D;201216;000000;959.8000000;18244
SMLT;D;201217;000000;954.0000000;9040
SMLT;D;201218;000000;955.0000000;11896
SMLT;D;201221;000000;944.4000000;19114
SMLT;D;201222;000000;950.2000000;8513
SMLT;D;201223;000000;950.0000000;2543
SMLT;D;201224;000000;950.2000000;2126
SMLT;D;201225;000000;959.2000000;8025
SMLT;D;201228;000000;951.0000000;3280
SMLT;D;201229;000000;959.4000000;3547
SMLT;D;201230;000000;958.0000000;4391
SMLT;D;210104;000000;964.8000000;4049
SMLT;D;210105;000000;965.0000000;5189
SMLT;D;210106;000000;962.0000000;1380
SMLT;D;210108;000000;958.0000000;4322
SMLT;D;210111;000000;961.8000000;6600
SMLT;D;210112;000000;956.8000000;3437
SMLT;D;210113;000000;952.0000000;2556
SMLT;D;210114;000000;951.0000000;1883
SMLT;D;210115;000000;951.0000000;18292
SMLT;D;210118;000000;950.6000000;3044
SMLT;D;210119;000000;957.2000000;10653
SMLT;D;210120;000000;960.0000000;10160
SMLT;D;210121;000000;960.6000000;7198
SMLT;D;210122;000000;951.0000000;8909
SMLT;D;210125;000000;957.2000000;5360
SMLT;D;210126;000000;956.0000000;2074
SMLT;D;210127;000000;955.0000000;3296
SMLT;D;210128;000000;960.0000000;47156
