<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
TGKN;D;151201;000000;0.0011200;476000000
TGKN;D;151202;000000;0.0011100;130000000
TGKN;D;151203;000000;0.0011050;317000000
TGKN;D;151204;000000;0.0011300;144000000
TGKN;D;151207;000000;0.0011200;175000000
TGKN;D;151208;000000;0.0010850;1143000000
TGKN;D;151209;000000;0.0010850;347000000
TGKN;D;151210;000000;0.0011000;881000000
TGKN;D;151211;000000;0.0010650;88000000
TGKN;D;151214;000000;0.0010900;55000000
TGKN;D;151215;000000;0.0011000;17000000
TGKN;D;151216;000000;0.0011000;35000000
TGKN;D;151217;000000;0.0011250;901000000
TGKN;D;151218;000000;0.0011100;406000000
TGKN;D;151221;000000;0.0011100;117000000
TGKN;D;151222;000000;0.0011250;20000000
TGKN;D;151223;000000;0.0011650;340000000
TGKN;D;151224;000000;0.0011400;364000000
TGKN;D;151225;000000;0.0011350;5000000
TGKN;D;151228;000000;0.0011700;82000000
TGKN;D;151229;000000;0.0011800;59000000
TGKN;D;151230;000000;0.0011650;12000000
TGKN;D;160104;000000;0.0011400;17000000
TGKN;D;160105;000000;0.0011650;20000000
TGKN;D;160106;000000;0.0011650;1000000
TGKN;D;160111;000000;0.0011100;92000000
TGKN;D;160112;000000;0.0011300;15000000
TGKN;D;160113;000000;0.0011300;2000000
TGKN;D;160114;000000;0.0011100;26000000
TGKN;D;160115;000000;0.0011000;10000000
TGKN;D;160118;000000;0.0011000;166000000
TGKN;D;160119;000000;0.0010950;88000000
TGKN;D;160120;000000;0.0011000;32000000
TGKN;D;160121;000000;0.0011000;6000000
TGKN;D;160122;000000;0.0010850;33000000
TGKN;D;160125;000000;0.0010800;26000000
TGKN;D;160126;000000;0.0011100;119000000
TGKN;D;160127;000000;0.0011200;14000000
TGKN;D;160128;000000;0.0010800;16000000
TGKN;D;160129;000000;0.0011000;3000000
TGKN;D;160203;000000;0.0011150;112000000
TGKN;D;160204;000000;0.0011250;51000000
TGKN;D;160205;000000;0.0011100;42000000
TGKN;D;160208;000000;0.0011000;2000000
TGKN;D;160209;000000;0.0011450;320000000
TGKN;D;160210;000000;0.0011050;11000000
TGKN;D;160211;000000;0.0011050;6000000
TGKN;D;160212;000000;0.0011000;7000000
TGKN;D;160215;000000;0.0011200;20000000
TGKN;D;160216;000000;0.0010950;114000000
TGKN;D;160217;000000;0.0010800;30000000
TGKN;D;160218;000000;0.0011050;25000000
TGKN;D;160219;000000;0.0010800;3000000
TGKN;D;160222;000000;0.0011050;8000000
TGKN;D;160224;000000;0.0011200;5000000
TGKN;D;160225;000000;0.0010800;151000000
TGKN;D;160226;000000;0.0010900;60000000
TGKN;D;160229;000000;0.0011100;185000000
TGKN;D;160301;000000;0.0011000;3000000
TGKN;D;160302;000000;0.0011050;140000000
TGKN;D;160303;000000;0.0011650;352000000
TGKN;D;160304;000000;0.0011550;53000000
TGKN;D;160307;000000;0.0011450;5000000
TGKN;D;160309;000000;0.0011250;5000000
TGKN;D;160310;000000;0.0011550;416000000
TGKN;D;160311;000000;0.0011950;303000000
TGKN;D;160314;000000;0.0011800;116000000
TGKN;D;160315;000000;0.0012000;101000000
TGKN;D;160316;000000;0.0012200;422000000
TGKN;D;160317;000000;0.0012100;255000000
TGKN;D;160318;000000;0.0011800;807000000
TGKN;D;160321;000000;0.0011700;184000000
TGKN;D;160322;000000;0.0011600;22000000
TGKN;D;160323;000000;0.0011600;59000000
TGKN;D;160324;000000;0.0011650;16000000
TGKN;D;160325;000000;0.0012050;115000000
TGKN;D;160328;000000;0.0012000;10000000
TGKN;D;160329;000000;0.0011900;13000000
TGKN;D;160330;000000;0.0012000;82000000
TGKN;D;160331;000000;0.0012100;282000000
TGKN;D;160401;000000;0.0013400;2864000000
TGKN;D;160404;000000;0.0012950;1378000000
TGKN;D;160405;000000;0.0012450;519000000
TGKN;D;160406;000000;0.0012900;152000000
TGKN;D;160407;000000;0.0012600;156000000
TGKN;D;160408;000000;0.0012700;169000000
TGKN;D;160411;000000;0.0012800;206000000
TGKN;D;160412;000000;0.0012650;99000000
TGKN;D;160413;000000;0.0012600;102000000
TGKN;D;160414;000000;0.0012250;215000000
TGKN;D;160415;000000;0.0012250;49000000
TGKN;D;160418;000000;0.0013000;301000000
TGKN;D;160419;000000;0.0013050;27000000
TGKN;D;160420;000000;0.0012750;66000000
TGKN;D;160421;000000;0.0012550;25000000
TGKN;D;160422;000000;0.0012600;62000000
TGKN;D;160425;000000;0.0012300;23000000
TGKN;D;160426;000000;0.0012700;10000000
