<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
TTLK;D;151201;000000;0.1445000;1220000
TTLK;D;151202;000000;0.1440000;1120000
TTLK;D;151203;000000;0.1400000;1490000
TTLK;D;151204;000000;0.1475000;870000
TTLK;D;151207;000000;0.1440000;280000
TTLK;D;151208;000000;0.1475000;200000
TTLK;D;151209;000000;0.1475000;550000
TTLK;D;151210;000000;0.1420000;430000
TTLK;D;151211;000000;0.1410000;140000
TTLK;D;151214;000000;0.1420000;160000
TTLK;D;151215;000000;0.1450000;190000
TTLK;D;151216;000000;0.1460000;130000
TTLK;D;151218;000000;0.1450000;200000
TTLK;D;151221;000000;0.1475000;760000
TTLK;D;151222;000000;0.1475000;230000
TTLK;D;151224;000000;0.1450000;1500000
TTLK;D;151225;000000;0.1455000;90000
TTLK;D;151228;000000;0.1435000;1780000
TTLK;D;151229;000000;0.1410000;160000
TTLK;D;151230;000000;0.1415000;180000
TTLK;D;160104;000000;0.1420000;30000
TTLK;D;160105;000000;0.1430000;810000
TTLK;D;160106;000000;0.1435000;210000
TTLK;D;160111;000000;0.1435000;80000
TTLK;D;160112;000000;0.1485000;5080000
TTLK;D;160113;000000;0.1440000;120000
TTLK;D;160114;000000;0.1470000;200000
TTLK;D;160115;000000;0.1405000;260000
TTLK;D;160118;000000;0.1410000;1400000
TTLK;D;160119;000000;0.1430000;110000
TTLK;D;160120;000000;0.1405000;360000
TTLK;D;160121;000000;0.1440000;340000
TTLK;D;160122;000000;0.1440000;3380000
TTLK;D;160125;000000;0.1435000;110000
TTLK;D;160126;000000;0.1430000;10000
TTLK;D;160127;000000;0.1445000;1690000
TTLK;D;160128;000000;0.1470000;770000
TTLK;D;160129;000000;0.1490000;590000
TTLK;D;160201;000000;0.1475000;280000
TTLK;D;160202;000000;0.1475000;50000
TTLK;D;160203;000000;0.1500000;730000
TTLK;D;160204;000000;0.1495000;90000
TTLK;D;160205;000000;0.1485000;970000
TTLK;D;160208;000000;0.1450000;2930000
TTLK;D;160209;000000;0.1440000;7430000
TTLK;D;160210;000000;0.1455000;20000
TTLK;D;160211;000000;0.1455000;90000
TTLK;D;160212;000000;0.1460000;20000
TTLK;D;160215;000000;0.1430000;80000
TTLK;D;160216;000000;0.1425000;260000
TTLK;D;160217;000000;0.1420000;40000
TTLK;D;160218;000000;0.1445000;10780000
TTLK;D;160220;000000;0.1440000;140000
TTLK;D;160222;000000;0.1410000;830000
TTLK;D;160224;000000;0.1400000;740000
TTLK;D;160225;000000;0.1395000;910000
TTLK;D;160226;000000;0.1400000;1310000
TTLK;D;160229;000000;0.1400000;300000
TTLK;D;160301;000000;0.1400000;860000
TTLK;D;160302;000000;0.1400000;140000
TTLK;D;160303;000000;0.1405000;450000
TTLK;D;160304;000000;0.1400000;830000
TTLK;D;160307;000000;0.1400000;1230000
TTLK;D;160309;000000;0.1400000;230000
TTLK;D;160310;000000;0.1385000;590000
TTLK;D;160311;000000;0.1400000;5680000
TTLK;D;160314;000000;0.1415000;330000
TTLK;D;160315;000000;0.1400000;1580000
TTLK;D;160316;000000;0.1410000;1600000
TTLK;D;160317;000000;0.1410000;7390000
TTLK;D;160318;000000;0.1440000;1570000
TTLK;D;160321;000000;0.1470000;2340000
TTLK;D;160322;000000;0.1460000;1620000
TTLK;D;160323;000000;0.1470000;900000
TTLK;D;160324;000000;0.1465000;1970000
TTLK;D;160325;000000;0.1495000;3390000
TTLK;D;160328;000000;0.1510000;1420000
TTLK;D;160329;000000;0.1490000;570000
TTLK;D;160330;000000;0.1470000;1750000
TTLK;D;160331;000000;0.1495000;880000
TTLK;D;160401;000000;0.1480000;140000
TTLK;D;160404;000000;0.1510000;690000
TTLK;D;160405;000000;0.1475000;5770000
TTLK;D;160406;000000;0.1480000;6250000
TTLK;D;160407;000000;0.1495000;1250000
TTLK;D;160408;000000;0.1490000;1420000
TTLK;D;160411;000000;0.1495000;5400000
TTLK;D;160412;000000;0.1495000;170000
TTLK;D;160413;000000;0.1485000;1320000
TTLK;D;160414;000000;0.1485000;2080000
TTLK;D;160415;000000;0.1495000;760000
TTLK;D;160418;000000;0.1505000;3030000
TTLK;D;160419;000000;0.1580000;14080000
TTLK;D;160420;000000;0.1585000;1200000
TTLK;D;160421;000000;0.1585000;1440000
TTLK;D;160422;000000;0.1590000;1350000
TTLK;D;160425;000000;0.1590000;1570000
TTLK;D;160426;000000;0.1575000;940000
TTLK;D;160427;000000;0.1560000;2760000
TTLK;D;160428;000000;0.1575000;400000
TTLK;D;160429;000000;0.1590000;5740000
TTLK;D;160504;000000;0.1590000;12430000
TTLK;D;160505;000000;0.1605000;7590000
TTLK;D;160506;000000;0.1455000;9590000
TTLK;D;160510;000000;0.1440000;3590000
TTLK;D;160511;000000;0.1395000;9360000
TTLK;D;160512;000000;0.1400000;1630000
TTLK;D;160513;000000;0.1430000;2770000
TTLK;D;160516;000000;0.1435000;1120000
TTLK;D;160517;000000;0.1420000;510000
TTLK;D;160518;000000;0.1430000;160000
TTLK;D;160519;000000;0.1410000;2160000
TTLK;D;160520;000000;0.1415000;120000
TTLK;D;160523;000000;0.1440000;1400000
TTLK;D;160524;000000;0.1430000;990000
TTLK;D;160525;000000;0.1420000;110000
TTLK;D;160526;000000;0.1400000;4010000
TTLK;D;160527;000000;0.1385000;2270000
TTLK;D;160530;000000;0.1380000;1380000
TTLK;D;160531;000000;0.1400000;7500000
TTLK;D;160601;000000;0.1405000;510000
TTLK;D;160602;000000;0.1400000;120000
TTLK;D;160603;000000;0.1395000;2840000
TTLK;D;160606;000000;0.1425000;240000
