<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
WTCM;D;151202;000000;8.3500000;5700
WTCM;D;151203;000000;8.8500000;200
WTCM;D;151204;000000;8.9500000;10600
WTCM;D;151207;000000;8.4000000;70000
WTCM;D;151208;000000;8.2500000;1300
WTCM;D;151209;000000;8.2000000;15700
WTCM;D;151210;000000;8.2500000;10100
WTCM;D;151211;000000;8.8500000;38400
WTCM;D;151214;000000;8.8000000;11200
WTCM;D;151215;000000;8.2500000;18900
WTCM;D;151216;000000;8.8000000;15700
WTCM;D;151218;000000;9.1500000;20200
WTCM;D;151221;000000;8.8500000;20900
WTCM;D;151222;000000;9.5000000;3000
WTCM;D;151223;000000;9.5000000;3000
WTCM;D;151224;000000;9.5000000;8000
WTCM;D;151225;000000;8.9000000;2100
WTCM;D;151228;000000;9.5000000;101900
WTCM;D;151229;000000;9.0500000;202600
WTCM;D;151230;000000;9.0500000;120400
WTCM;D;160105;000000;9.3000000;100
WTCM;D;160111;000000;8.9500000;100
WTCM;D;160112;000000;9.1500000;100
WTCM;D;160113;000000;9.0000000;500
WTCM;D;160115;000000;8.3000000;1000
WTCM;D;160118;000000;8.3000000;200
WTCM;D;160119;000000;9.0000000;500
WTCM;D;160120;000000;8.6000000;100
WTCM;D;160121;000000;8.4500000;27700
WTCM;D;160122;000000;8.5500000;100
WTCM;D;160125;000000;8.2500000;500
WTCM;D;160126;000000;8.2000000;100
WTCM;D;160129;000000;8.4500000;900
WTCM;D;160204;000000;8.3500000;700
WTCM;D;160205;000000;8.3500000;800
WTCM;D;160208;000000;8.3500000;100
WTCM;D;160209;000000;8.2000000;900
WTCM;D;160210;000000;8.2000000;100
WTCM;D;160211;000000;8.2500000;200
WTCM;D;160215;000000;8.1000000;11400
WTCM;D;160216;000000;8.1000000;600
WTCM;D;160217;000000;8.2000000;400
WTCM;D;160219;000000;8.0500000;1800
WTCM;D;160220;000000;8.0500000;200
WTCM;D;160224;000000;8.1000000;400
WTCM;D;160225;000000;8.1000000;300
WTCM;D;160226;000000;8.1500000;7600
WTCM;D;160229;000000;8.6000000;12700
WTCM;D;160303;000000;8.3000000;5700
WTCM;D;160307;000000;8.3500000;600
WTCM;D;160309;000000;8.5000000;300
WTCM;D;160310;000000;8.4500000;7700
WTCM;D;160311;000000;8.4500000;1300
WTCM;D;160314;000000;8.4500000;5600
WTCM;D;160315;000000;8.4500000;100
WTCM;D;160316;000000;8.4500000;5000
WTCM;D;160317;000000;8.4500000;10000
WTCM;D;160318;000000;8.4000000;700
WTCM;D;160321;000000;8.4000000;1400
WTCM;D;160323;000000;8.0000000;63900
WTCM;D;160324;000000;8.0500000;2400
WTCM;D;160325;000000;8.0000000;400
WTCM;D;160328;000000;8.0000000;100
WTCM;D;160329;000000;8.0000000;800
WTCM;D;160330;000000;8.0000000;800
WTCM;D;160331;000000;8.0000000;200
WTCM;D;160401;000000;8.2500000;30700
WTCM;D;160404;000000;8.0500000;100
WTCM;D;160405;000000;8.0500000;200
WTCM;D;160406;000000;8.0000000;1400
WTCM;D;160407;000000;8.0000000;2200
WTCM;D;160408;000000;8.0000000;100
WTCM;D;160411;000000;8.0000000;1700
WTCM;D;160412;000000;8.0000000;2200
WTCM;D;160413;000000;9.0000000;41100
WTCM;D;160414;000000;9.1000000;42500
WTCM;D;160415;000000;8.7500000;30000
WTCM;D;160418;000000;8.7000000;9000
WTCM;D;160419;000000;9.5000000;2600
WTCM;D;160420;000000;9.1500000;5800
WTCM;D;160421;000000;9.6000000;200
WTCM;D;160422;000000;9.6000000;9700
WTCM;D;160425;000000;9.8000000;4500
WTCM;D;160426;000000;9.6500000;2000
