<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
WUSH;D;221214;000000;185.4000000;2824316
WUSH;D;221215;000000;182.8000000;999270
WUSH;D;221216;000000;155.0000000;2724810
WUSH;D;221219;000000;159.1300000;1041171
WUSH;D;221220;000000;160.4800000;229343
WUSH;D;221221;000000;160.6700000;390593
WUSH;D;221222;000000;159.4000000;116045
WUSH;D;221223;000000;158.0000000;71479
WUSH;D;221226;000000;165.0000000;602824
WUSH;D;221227;000000;162.7000000;121661
WUSH;D;221228;000000;164.8300000;78549
WUSH;D;221229;000000;166.0200000;103938
WUSH;D;221230;000000;162.0000000;140325
WUSH;D;230103;000000;166.0000000;81769
WUSH;D;230104;000000;165.0900000;49466
WUSH;D;230105;000000;164.8900000;24841
WUSH;D;230106;000000;164.0000000;21326
WUSH;D;230109;000000;163.9000000;38517
WUSH;D;230110;000000;163.9700000;148146
WUSH;D;230111;000000;162.8700000;119961
WUSH;D;230112;000000;162.5900000;49222
WUSH;D;230113;000000;162.7500000;70864
WUSH;D;230116;000000;163.2800000;44390
WUSH;D;230117;000000;162.3800000;85531
WUSH;D;230118;000000;162.5300000;51563
WUSH;D;230119;000000;163.6000000;59464
WUSH;D;230120;000000;163.1600000;19074
WUSH;D;230123;000000;162.8100000;36067
WUSH;D;230124;000000;162.3600000;36122
WUSH;D;230125;000000;160.6000000;88511
WUSH;D;230126;000000;159.4900000;40928
WUSH;D;230127;000000;159.2100000;43869
WUSH;D;230130;000000;161.7000000;230502
WUSH;D;230131;000000;162.4300000;67977
WUSH;D;230201;000000;161.9800000;45287
WUSH;D;230202;000000;161.9100000;72181
WUSH;D;230203;000000;162.0000000;66059
WUSH;D;230206;000000;176.2000000;1291996
WUSH;D;230207;000000;171.4700000;344089
WUSH;D;230208;000000;171.1300000;233199
WUSH;D;230209;000000;168.3500000;80053
WUSH;D;230210;000000;169.9300000;184575
WUSH;D;230213;000000;172.9000000;132347
WUSH;D;230214;000000;170.9700000;95515
WUSH;D;230215;000000;164.1000000;89552
WUSH;D;230216;000000;164.9500000;92417
WUSH;D;230217;000000;166.1300000;289360
WUSH;D;230220;000000;166.3900000;65783
WUSH;D;230221;000000;168.6800000;224974
WUSH;D;230222;000000;171.2700000;2118003
WUSH;D;230224;000000;174.4500000;380355
WUSH;D;230227;000000;177.7000000;203948
WUSH;D;230228;000000;179.4600000;228855
WUSH;D;230301;000000;182.4000000;711936
WUSH;D;230302;000000;182.7100000;396057
WUSH;D;230303;000000;181.0000000;139936
WUSH;D;230306;000000;183.2900000;310808
WUSH;D;230307;000000;189.0300000;837047
WUSH;D;230309;000000;196.6900000;2443633
WUSH;D;230310;000000;197.5000000;927791
WUSH;D;230313;000000;196.0900000;402449
WUSH;D;230314;000000;196.9900000;225900
WUSH;D;230315;000000;193.4900000;181119
WUSH;D;230316;000000;192.6100000;281252
WUSH;D;230317;000000;189.8700000;345211
WUSH;D;230320;000000;194.0000000;373702
WUSH;D;230321;000000;194.2200000;237266
WUSH;D;230322;000000;192.5200000;192898
WUSH;D;230323;000000;197.5700000;421930
WUSH;D;230324;000000;196.2300000;263216
WUSH;D;230327;000000;203.3000000;1051721
WUSH;D;230328;000000;202.6000000;281332
WUSH;D;230329;000000;202.8100000;314107
WUSH;D;230330;000000;202.9500000;157674
WUSH;D;230331;000000;201.5900000;301976
WUSH;D;230403;000000;202.7200000;176756
WUSH;D;230404;000000;201.3400000;166573
WUSH;D;230405;000000;201.0000000;191590
WUSH;D;230406;000000;211.9400000;1613554
WUSH;D;230407;000000;216.5100000;1441349
WUSH;D;230410;000000;236.7700000;2582580
WUSH;D;230411;000000;260.2000000;5654909
WUSH;D;230412;000000;257.7000000;2546405
WUSH;D;230413;000000;243.0000000;1158798
WUSH;D;230414;000000;253.5500000;1440584
WUSH;D;230417;000000;254.7900000;985209
WUSH;D;230418;000000;252.0000000;474012
WUSH;D;230419;000000;246.8500000;670954
WUSH;D;230420;000000;242.9500000;541678
WUSH;D;230421;000000;242.0000000;507947
WUSH;D;230424;000000;244.6000000;328010
WUSH;D;230425;000000;244.2500000;181162
WUSH;D;230426;000000;245.0300000;972894
WUSH;D;230427;000000;240.8600000;394555
WUSH;D;230428;000000;234.0900000;543119
WUSH;D;230502;000000;224.5000000;854949
WUSH;D;230503;000000;218.0800000;718439
WUSH;D;230504;000000;213.4800000;471925
WUSH;D;230505;000000;216.2200000;248494
WUSH;D;230508;000000;210.6000000;214384
WUSH;D;230510;000000;218.5200000;415567
WUSH;D;230511;000000;224.4400000;550637
WUSH;D;230512;000000;222.1800000;188005
WUSH;D;230515;000000;226.9000000;754135
WUSH;D;230516;000000;227.1100000;334716
WUSH;D;230517;000000;223.2000000;300192
WUSH;D;230518;000000;221.7100000;255321
WUSH;D;230519;000000;214.5600000;483685
WUSH;D;230522;000000;225.0000000;637129
WUSH;D;230523;000000;225.0400000;332514
WUSH;D;230524;000000;223.5000000;239169
WUSH;D;230525;000000;222.2200000;151955
WUSH;D;230526;000000;221.9600000;163508
WUSH;D;230529;000000;223.2200000;281059
WUSH;D;230530;000000;219.1900000;338564
WUSH;D;230531;000000;215.2700000;475778
WUSH;D;230601;000000;215.5200000;238388
WUSH;D;230602;000000;214.9100000;193863
WUSH;D;230605;000000;216.2000000;417857
WUSH;D;230606;000000;214.2900000;160498
WUSH;D;230607;000000;212.1000000;412532
WUSH;D;230608;000000;211.8700000;157867
WUSH;D;230609;000000;211.1000000;176059
WUSH;D;230613;000000;213.1400000;194441
WUSH;D;230614;000000;213.6000000;134205
WUSH;D;230615;000000;220.4900000;1039100
WUSH;D;230616;000000;223.5000000;993971
WUSH;D;230619;000000;223.0000000;394022
WUSH;D;230620;000000;232.0100000;2348957
WUSH;D;230621;000000;236.5200000;773932
WUSH;D;230622;000000;233.2200000;422933
WUSH;D;230623;000000;233.0000000;1495946
WUSH;D;230626;000000;225.4500000;573181
WUSH;D;230627;000000;227.0000000;196919
WUSH;D;230628;000000;229.8900000;408580
WUSH;D;230629;000000;230.4600000;424664
WUSH;D;230630;000000;227.9700000;479065
WUSH;D;230703;000000;224.7400000;461194
WUSH;D;230704;000000;223.8400000;338671
WUSH;D;230705;000000;221.5000000;274081
WUSH;D;230706;000000;217.9000000;435681
WUSH;D;230707;000000;220.0000000;334712
WUSH;D;230710;000000;222.8000000;234441
WUSH;D;230711;000000;222.5000000;142110
