<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
YNDX;D;151201;000000;1086.0000000;22606
YNDX;D;151202;000000;1104.0000000;68236
YNDX;D;151203;000000;1099.0000000;24364
YNDX;D;151204;000000;1087.1000000;36766
YNDX;D;151207;000000;1060.0000000;36564
YNDX;D;151208;000000;1038.9000000;58815
YNDX;D;151209;000000;1050.0000000;21844
YNDX;D;151210;000000;1030.3000000;31961
YNDX;D;151211;000000;1037.0000000;37768
YNDX;D;151214;000000;984.4000000;57670
YNDX;D;151215;000000;1055.0000000;81371
YNDX;D;151216;000000;1067.0000000;28202
YNDX;D;151217;000000;1084.9000000;42062
YNDX;D;151218;000000;1075.1000000;29548
YNDX;D;151221;000000;1095.1000000;28543
YNDX;D;151222;000000;1090.1000000;28452
YNDX;D;151223;000000;1125.1000000;44509
YNDX;D;151224;000000;1129.1000000;29432
YNDX;D;151225;000000;1110.0000000;19317
YNDX;D;151228;000000;1119.5000000;25923
YNDX;D;151229;000000;1138.0000000;26402
YNDX;D;151230;000000;1147.0000000;25502
YNDX;D;160104;000000;1064.1000000;55784
YNDX;D;160105;000000;1133.9000000;41995
YNDX;D;160106;000000;1112.0000000;38189
YNDX;D;160111;000000;987.0000000;141169
YNDX;D;160112;000000;999.0000000;109601
YNDX;D;160113;000000;1006.0000000;50263
YNDX;D;160114;000000;1009.0000000;72349
YNDX;D;160115;000000;954.0000000;85966
YNDX;D;160118;000000;963.0000000;46699
YNDX;D;160119;000000;954.0000000;85781
YNDX;D;160120;000000;912.5000000;98080
YNDX;D;160121;000000;1020.0000000;146107
YNDX;D;160122;000000;1020.0000000;96113
YNDX;D;160125;000000;1002.1000000;64008
YNDX;D;160126;000000;1012.0000000;58906
YNDX;D;160127;000000;1049.9000000;88938
YNDX;D;160128;000000;1017.4000000;84808
YNDX;D;160129;000000;1007.0000000;57217
YNDX;D;160201;000000;1013.0000000;39630
YNDX;D;160202;000000;1012.0000000;50384
YNDX;D;160203;000000;1012.5000000;39685
YNDX;D;160204;000000;1054.0000000;122360
YNDX;D;160205;000000;1023.0000000;46287
YNDX;D;160208;000000;986.0000000;95054
YNDX;D;160209;000000;992.0000000;81971
YNDX;D;160210;000000;998.0000000;63650
YNDX;D;160211;000000;1007.0000000;59547
YNDX;D;160212;000000;989.0000000;50041
YNDX;D;160215;000000;1008.0000000;37493
YNDX;D;160216;000000;1072.0000000;174733
YNDX;D;160217;000000;1044.0000000;127367
YNDX;D;160218;000000;1014.0000000;114810
YNDX;D;160219;000000;989.0000000;154533
YNDX;D;160220;000000;987.5000000;14819
YNDX;D;160222;000000;1002.5000000;47757
YNDX;D;160224;000000;974.5000000;76231
YNDX;D;160225;000000;982.0000000;70155
YNDX;D;160226;000000;983.5000000;144720
YNDX;D;160229;000000;978.0000000;67813
YNDX;D;160301;000000;989.5000000;62097
YNDX;D;160302;000000;1003.0000000;71302
YNDX;D;160303;000000;1018.0000000;123660
YNDX;D;160304;000000;999.0000000;114317
YNDX;D;160307;000000;1020.0000000;76725
YNDX;D;160309;000000;994.0000000;108964
YNDX;D;160310;000000;978.5000000;95508
YNDX;D;160311;000000;979.0000000;84474
YNDX;D;160314;000000;1023.0000000;220367
YNDX;D;160315;000000;1004.0000000;109028
YNDX;D;160316;000000;1021.0000000;132607
YNDX;D;160317;000000;1032.0000000;66233
YNDX;D;160318;000000;1034.5000000;61476
YNDX;D;160321;000000;1022.0000000;44912
YNDX;D;160322;000000;1023.5000000;50907
YNDX;D;160323;000000;1020.5000000;41697
YNDX;D;160324;000000;1028.0000000;28409
YNDX;D;160325;000000;1032.5000000;6445
YNDX;D;160328;000000;1013.0000000;38499
YNDX;D;160329;000000;1036.0000000;49095
YNDX;D;160330;000000;1041.5000000;69512
YNDX;D;160331;000000;1022.0000000;57980
YNDX;D;160401;000000;1028.0000000;41564
YNDX;D;160404;000000;1033.0000000;32092
YNDX;D;160405;000000;1039.0000000;33833
YNDX;D;160406;000000;1041.0000000;31361
YNDX;D;160407;000000;1060.0000000;69136
YNDX;D;160408;000000;1018.0000000;122002
YNDX;D;160411;000000;1045.0000000;111668
YNDX;D;160412;000000;1088.5000000;111892
YNDX;D;160413;000000;1127.0000000;94435
YNDX;D;160414;000000;1109.5000000;71957
YNDX;D;160415;000000;1109.0000000;33596
YNDX;D;160418;000000;1130.0000000;47972
YNDX;D;160419;000000;1148.0000000;54307
YNDX;D;160420;000000;1186.0000000;61999
YNDX;D;160421;000000;1200.0000000;85130
YNDX;D;160422;000000;1196.0000000;81865
YNDX;D;160425;000000;1176.5000000;79699
YNDX;D;160426;000000;1173.0000000;33921
YNDX;D;160427;000000;1194.0000000;59542
YNDX;D;160428;000000;1300.0000000;327259
YNDX;D;160429;000000;1301.0000000;82426
YNDX;D;160504;000000;1337.5000000;39333
YNDX;D;160505;000000;1316.5000000;60698
YNDX;D;160506;000000;1291.0000000;69623
YNDX;D;160510;000000;1291.5000000;55376
YNDX;D;160511;000000;1286.0000000;29919
YNDX;D;160512;000000;1277.0000000;36641
YNDX;D;160513;000000;1276.5000000;35654
YNDX;D;160516;000000;1297.0000000;35942
YNDX;D;160517;000000;1278.5000000;45377
YNDX;D;160518;000000;1267.5000000;24537
YNDX;D;160519;000000;1261.0000000;34258
YNDX;D;160520;000000;1278.0000000;48596
YNDX;D;160523;000000;1288.0000000;39669
YNDX;D;160524;000000;1289.5000000;28406
YNDX;D;160525;000000;1305.0000000;62664
YNDX;D;160526;000000;1303.5000000;51472
YNDX;D;160527;000000;1311.0000000;32577
YNDX;D;160530;000000;1317.5000000;7512
YNDX;D;160531;000000;1357.0000000;66821
YNDX;D;160601;000000;1369.5000000;45287
YNDX;D;160602;000000;1371.0000000;27014
YNDX;D;160603;000000;1370.0000000;38559
YNDX;D;160606;000000;1399.0000000;62212
YNDX;D;160607;000000;1413.0000000;36704
YNDX;D;160608;000000;1450.0000000;26614
YNDX;D;160609;000000;1464.0000000;31928
YNDX;D;160610;000000;1430.0000000;37549
YNDX;D;160614;000000;1375.5000000;62608
YNDX;D;160615;000000;1408.5000000;55396
YNDX;D;160616;000000;1380.0000000;49836
YNDX;D;160617;000000;1406.0000000;44249
YNDX;D;160620;000000;1418.5000000;52708
YNDX;D;160621;000000;1377.0000000;30649
YNDX;D;160622;000000;1407.0000000;28283
YNDX;D;160623;000000;1428.0000000;23256
YNDX;D;160624;000000;1379.5000000;51708
YNDX;D;160627;000000;1291.0000000;82886
YNDX;D;160628;000000;1336.0000000;32494
YNDX;D;160629;000000;1372.5000000;19361
YNDX;D;160630;000000;1399.0000000;24258
YNDX;D;160701;000000;1403.0000000;25838
YNDX;D;160704;000000;1390.0000000;12952
YNDX;D;160705;000000;1383.0000000;20290
YNDX;D;160706;000000;1373.5000000;23896
YNDX;D;160707;000000;1390.0000000;41944
YNDX;D;160708;000000;1413.0000000;15692
YNDX;D;160711;000000;1407.0000000;17543
YNDX;D;160712;000000;1473.0000000;31278
YNDX;D;160713;000000;1403.0000000;33006
YNDX;D;160714;000000;1391.0000000;43031
YNDX;D;160715;000000;1373.5000000;48486
YNDX;D;160718;000000;1354.0000000;50312
YNDX;D;160719;000000;1345.5000000;28147
YNDX;D;160720;000000;1360.0000000;18096
YNDX;D;160721;000000;1376.0000000;18809
YNDX;D;160722;000000;1387.5000000;16493
YNDX;D;160725;000000;1377.5000000;20457
YNDX;D;160726;000000;1404.0000000;40460
YNDX;D;160727;000000;1419.0000000;33913
YNDX;D;160728;000000;1485.5000000;157214
YNDX;D;160729;000000;1442.0000000;45620
YNDX;D;160801;000000;1438.5000000;26702
YNDX;D;160802;000000;1416.0000000;37551
YNDX;D;160803;000000;1409.0000000;22141
YNDX;D;160804;000000;1417.0000000;30503
YNDX;D;160805;000000;1429.0000000;19140
YNDX;D;160808;000000;1420.0000000;10165
YNDX;D;160809;000000;1447.0000000;15415
YNDX;D;160810;000000;1447.0000000;16960
YNDX;D;160811;000000;1485.0000000;27182
YNDX;D;160812;000000;1506.0000000;21162
YNDX;D;160815;000000;1498.0000000;28247
YNDX;D;160816;000000;1491.0000000;18162
YNDX;D;160817;000000;1459.0000000;39996
YNDX;D;160818;000000;1451.0000000;48051
YNDX;D;160819;000000;1445.5000000;18216
YNDX;D;160822;000000;1441.0000000;29108
YNDX;D;160823;000000;1449.0000000;25140
YNDX;D;160824;000000;1453.0000000;18354
YNDX;D;160825;000000;1444.5000000;23227
YNDX;D;160826;000000;1447.0000000;31592
YNDX;D;160829;000000;1442.0000000;28693
YNDX;D;160830;000000;1437.5000000;19520
YNDX;D;160831;000000;1428.0000000;20219
YNDX;D;160901;000000;1464.0000000;32846
YNDX;D;160902;000000;1463.0000000;19268
YNDX;D;160905;000000;1455.5000000;5391
YNDX;D;160906;000000;1441.0000000;38416
YNDX;D;160907;000000;1418.0000000;42108
YNDX;D;160908;000000;1409.0000000;54985
YNDX;D;160909;000000;1370.0000000;95696
YNDX;D;160912;000000;1350.0000000;172413
YNDX;D;160913;000000;1326.0000000;89319
YNDX;D;160914;000000;1321.5000000;36058
YNDX;D;160915;000000;1319.5000000;67920
YNDX;D;160916;000000;1335.0000000;28864
YNDX;D;160919;000000;1341.0000000;27941
YNDX;D;160920;000000;1341.0000000;24799
YNDX;D;160921;000000;1348.5000000;16237
YNDX;D;160922;000000;1401.0000000;52219
YNDX;D;160923;000000;1398.5000000;28966
YNDX;D;160926;000000;1370.0000000;24175
YNDX;D;160927;000000;1353.0000000;19365
YNDX;D;160928;000000;1355.0000000;20131
YNDX;D;160929;000000;1353.0000000;38008
YNDX;D;160930;000000;1341.0000000;24020
YNDX;D;161003;000000;1356.0000000;24540
YNDX;D;161004;000000;1346.0000000;19350
YNDX;D;161005;000000;1371.0000000;35997
YNDX;D;161006;000000;1376.5000000;22804
YNDX;D;161007;000000;1367.0000000;14436
YNDX;D;161010;000000;1352.5000000;11316
YNDX;D;161011;000000;1350.5000000;24177
YNDX;D;161012;000000;1290.0000000;62073
YNDX;D;161013;000000;1231.0000000;152236
YNDX;D;161014;000000;1212.0000000;76714
YNDX;D;161017;000000;1186.0000000;45822
YNDX;D;161018;000000;1228.5000000;40374
YNDX;D;161019;000000;1238.5000000;44581
YNDX;D;161020;000000;1234.0000000;25030
YNDX;D;161021;000000;1213.5000000;14982
YNDX;D;161024;000000;1221.0000000;68786
YNDX;D;161025;000000;1222.5000000;58180
YNDX;D;161026;000000;1194.5000000;53191
YNDX;D;161027;000000;1261.0000000;182553
YNDX;D;161028;000000;1270.0000000;70960
YNDX;D;161031;000000;1256.0000000;48642
YNDX;D;161101;000000;1243.5000000;42155
YNDX;D;161102;000000;1212.0000000;51835
YNDX;D;161103;000000;1190.0000000;77147
YNDX;D;161107;000000;1196.0000000;29770
YNDX;D;161108;000000;1197.0000000;41923
YNDX;D;161109;000000;1234.0000000;59380
YNDX;D;161110;000000;1240.5000000;156761
YNDX;D;161111;000000;1225.0000000;73263
YNDX;D;161114;000000;1195.0000000;36586
YNDX;D;161115;000000;1170.0000000;65715
YNDX;D;161116;000000;1164.0000000;73059
YNDX;D;161117;000000;1150.0000000;100546
YNDX;D;161118;000000;1203.5000000;107262
YNDX;D;161121;000000;1201.0000000;26788
YNDX;D;161122;000000;1177.0000000;64130
YNDX;D;161123;000000;1228.0000000;101679
YNDX;D;161124;000000;1228.5000000;23217
YNDX;D;161125;000000;1221.5000000;49147
YNDX;D;161128;000000;1213.0000000;72941
YNDX;D;161129;000000;1215.0000000;48646
YNDX;D;161130;000000;1201.5000000;70116
YNDX;D;161201;000000;1217.0000000;109295
YNDX;D;161202;000000;1197.5000000;72609
YNDX;D;161205;000000;1199.0000000;124291
YNDX;D;161206;000000;1231.0000000;156842
YNDX;D;161207;000000;1243.0000000;41363
YNDX;D;161208;000000;1252.0000000;60760
YNDX;D;161209;000000;1248.0000000;30463
YNDX;D;161212;000000;1239.0000000;124603
YNDX;D;161213;000000;1277.0000000;69717
YNDX;D;161214;000000;1282.5000000;113975
YNDX;D;161215;000000;1292.0000000;129747
YNDX;D;161216;000000;1263.0000000;169605
YNDX;D;161219;000000;1255.0000000;68139
YNDX;D;161220;000000;1267.0000000;68428
YNDX;D;161221;000000;1245.0000000;44274
YNDX;D;161222;000000;1246.0000000;80931
YNDX;D;161223;000000;1252.0000000;37688
YNDX;D;161226;000000;1245.0000000;20730
YNDX;D;161227;000000;1237.0000000;36756
YNDX;D;161228;000000;1228.0000000;33166
YNDX;D;161229;000000;1241.0000000;27620
YNDX;D;161230;000000;1247.5000000;21350
YNDX;D;170103;000000;1241.0000000;76613
YNDX;D;170104;000000;1239.0000000;38727
YNDX;D;170105;000000;1252.0000000;77016
YNDX;D;170106;000000;1291.0000000;83164
YNDX;D;170109;000000;1317.0000000;66907
YNDX;D;170110;000000;1319.5000000;43833
YNDX;D;170111;000000;1299.0000000;43663
YNDX;D;170112;000000;1271.5000000;57377
YNDX;D;170113;000000;1286.5000000;32527
YNDX;D;170116;000000;1305.0000000;17621
YNDX;D;170117;000000;1303.0000000;27698
YNDX;D;170118;000000;1299.0000000;24139
YNDX;D;170119;000000;1307.0000000;19013
YNDX;D;170120;000000;1315.0000000;26316
YNDX;D;170123;000000;1295.0000000;21449
YNDX;D;170124;000000;1349.0000000;71002
YNDX;D;170125;000000;1381.0000000;79942
YNDX;D;170126;000000;1411.0000000;74937
YNDX;D;170127;000000;1418.5000000;43891
YNDX;D;170130;000000;1370.0000000;52000
YNDX;D;170131;000000;1379.0000000;14882
YNDX;D;170201;000000;1384.0000000;22785
YNDX;D;170202;000000;1370.0000000;33089
YNDX;D;170203;000000;1387.0000000;19431
YNDX;D;170206;000000;1357.5000000;21118
YNDX;D;170207;000000;1382.0000000;19332
YNDX;D;170208;000000;1350.0000000;35970
YNDX;D;170209;000000;1356.5000000;41973
YNDX;D;170210;000000;1345.0000000;16668
YNDX;D;170213;000000;1335.0000000;29261
YNDX;D;170214;000000;1312.0000000;36207
YNDX;D;170215;000000;1316.0000000;42386
YNDX;D;170216;000000;1401.0000000;112620
YNDX;D;170217;000000;1425.0000000;218189
YNDX;D;170220;000000;1425.0000000;21960
YNDX;D;170221;000000;1395.0000000;25664
YNDX;D;170222;000000;1399.0000000;49796
YNDX;D;170224;000000;1368.5000000;17194
YNDX;D;170227;000000;1354.0000000;21493
YNDX;D;170228;000000;1330.0000000;27553
YNDX;D;170301;000000;1334.0000000;61898
YNDX;D;170302;000000;1358.5000000;54692
YNDX;D;170303;000000;1370.0000000;16786
YNDX;D;170306;000000;1359.0000000;27374
YNDX;D;170307;000000;1364.0000000;13429
YNDX;D;170309;000000;1359.5000000;48396
YNDX;D;170310;000000;1360.0000000;26487
YNDX;D;170313;000000;1366.5000000;14319
YNDX;D;170314;000000;1357.0000000;33875
YNDX;D;170315;000000;1341.0000000;29476
YNDX;D;170316;000000;1375.0000000;64823
YNDX;D;170317;000000;1354.0000000;31069
YNDX;D;170320;000000;1347.0000000;13918
YNDX;D;170321;000000;1311.0000000;41760
YNDX;D;170322;000000;1291.0000000;73998
YNDX;D;170323;000000;1288.0000000;17787
YNDX;D;170324;000000;1280.0000000;13202
YNDX;D;170327;000000;1261.0000000;32998
YNDX;D;170328;000000;1275.0000000;14867
YNDX;D;170329;000000;1262.0000000;27076
YNDX;D;170330;000000;1247.5000000;26400
YNDX;D;170331;000000;1245.5000000;14507
YNDX;D;170403;000000;1242.0000000;32441
YNDX;D;170404;000000;1239.0000000;13502
YNDX;D;170405;000000;1298.0000000;67084
YNDX;D;170406;000000;1289.0000000;25707
YNDX;D;170407;000000;1260.0000000;50228
YNDX;D;170410;000000;1249.5000000;28178
YNDX;D;170411;000000;1251.0000000;30547
YNDX;D;170412;000000;1284.0000000;38589
YNDX;D;170413;000000;1289.0000000;27449
YNDX;D;170414;000000;1268.5000000;4672
YNDX;D;170417;000000;1367.5000000;59222
YNDX;D;170418;000000;1336.5000000;22208
YNDX;D;170419;000000;1329.5000000;16519
YNDX;D;170420;000000;1328.0000000;17367
YNDX;D;170421;000000;1310.0000000;24706
YNDX;D;170424;000000;1317.0000000;55276
YNDX;D;170425;000000;1338.0000000;28152
YNDX;D;170426;000000;1404.0000000;119824
YNDX;D;170427;000000;1520.0000000;290446
YNDX;D;170428;000000;1534.5000000;67712
YNDX;D;170502;000000;1549.0000000;43787
YNDX;D;170503;000000;1528.0000000;85779
YNDX;D;170504;000000;1581.0000000;84099
YNDX;D;170505;000000;1570.0000000;22265
YNDX;D;170510;000000;1590.0000000;33096
YNDX;D;170511;000000;1562.5000000;86560
YNDX;D;170512;000000;1592.0000000;81394
